Title,Director,Cast,Genre,Notes/Music,Year,Notes,Music,Rank
Bhimsen,Jayant Desai,"Trilok Kapoor, Nirupa Roy, B. M. Vyas, Murad, Durga Khote, Ramsingh, Narbada Shanker",Mythology,"Music: Avinash Vyas Lyrics: Saraswati Kumar Deepak, B. P. Bhargav",1950,,,
Bhishma Pratigya,Vasant Painter,"Nargis, Shahu Modak, Mahipal, Purnima, Kumar, Nimbalkar",Mythology,Music: S. K. Pal Lyrics: Manohar Khanna,1950,,,
Birha Ki Raat,Gajanan Jagirdar,"Dev Anand, Nargis, Om Prakash, Snehprabha, Jagirdar, Madan Puri",Romantic Drama,Music: Husnlal Bhagatram Lyrics: Sarshar Sailani,1950,,,
Biwi,Kishore Sharma,"Mumtaz Shanti, Veena, Ramlal, Al Nasir, Pran",Drama,"Music: Aziz Hindi Lyrics: Nazim Panipati, Wali Sahab",1950,,,
Chhoti Bhabi,Shanti Kumar,"Nargis, Shyama, Karan Dewan, Yakub, Suraiya Choudhary, Johar, Tabassum",Family Drama,Music: Husnlal Bhagatram Lyrics: Qamar Jalalabadi,1950,,,
Chor,A. P. Kapoor,"Meera Misra, Krishnakant, Cuckoo, Sankatha, Sona Chatterjee",Crime Action,"Music: Gobind Ram Lyrics: Rammurti Chaturvedi, Bharat Vyas, Harish Bhardwaj",1950,,,
Circuswale,Balwant Bhatt,"Fearless Nadia, John Cawas, Dalpat, Narmada Shanker, Sona Chatterjee",Action,Music: Chitragupta Lyrics: Shyam Hindi,1950,,,
Dahej,V. Shantaram,"Prithviraj Kapoor, Karan Dewan, Jayshree, Murad, Lalita Pawar, Ulhas, Mumtaz Begum",Social Drama,Music: Vasant Desai Lyrics: Shams Lakhnavi,1950,,,
Dastan,A. R. Kardar,"Raj Kapoor, Suraiya, Veena, Al Nasir, Murad, Suresh, Pratima Devi, S. N. Banerjee",Romantic Melodrama,Music by Naushad Lyrics: Shakeel Badayuni,1950,,,
Dilruba,Dwarka Khosla,"Dev Anand, Rehana, Yakub, Achala Sachdev, Cuckoo, Balam",Social,"Music: Gyan Dutt Lyrics: Rajendra Krishan, S. H. Bihari, Neelkanth Tiwari",1950,,,
Dolti Naiya,Mirza Musharaf,"Nigar Sultana, Amarnath, Shyama, Dulari, Veena, Mukri, Bhudo Advani, Mirza Musharaf",Social,"Music: Ram Prasad Lyrics: Jalal Malihabadi, Prakash, Bahaar Ajmeri",1950,,,
Gauna,Amiya Chakravarty,"Usha Kiran, Anoop Kumar, Purnima, S. Nazir, Kesari, Wasti",Family Drama,Music: Husnlal BhagatramLyrics: Qamar Jalalabadi,1950,,,
Gulnar,Harbans,"Geeta Bali, Salim Raza, Cuckoo, Farida, Kamal",Action,"Music: Hansraj Behl, Ghulam HaiderLyrics: Qatil Shifai, Tufail Hoshiyarpuri, Ehsan Rizvi, Mulk Raj Anand",1950,,,
Hamara Ghar,Nanabhai Bhatt,"Meena Kumari, Umakant, Agha, Jankidas, Yashodhara Katju, Durga Khote, Ramesh Gupta, David",Family Drama,"Music: ChitraguptaLyrics: Bharat Vyas, Rammurti Chaturvedi, Anjum",1950,,,
Hamari Beti,Shobhana Samarth,"Shekhar, Nutan, Motilal, Shobhana Samarth, Tanuja, Agha, Pramila, David, K. N. Singh, Veera",Family,"Music: Snehal BhatkarLyrics: Pandit Phani, Randhir Sahityalankar",1950,,,
Hanste Aansoo,K. B. Lal,"Madhubala, Motilal, Gope, Manorama, Mirza Musharaf, Jankidas",Social,Music: Ghulam MohammedLyrics: Majrooh Sultanpuri,1950,,,
Hanste Rehna,Mohammed Hussain,"Mukri, Mumtaz, Arvind Kumar, Habib, Heera Sawant",Action,Producer: Rajan PicturesMusic: WadhwaLyrics: Faruk Kaiser,1950,,,
Har Har Mahadev,Jayant Desai,"Trilok Kapoor, Nirupa Roy, Durga Khote, Jeevan, Niranjan Sharma, Shanta Kunwar",Religious,"Music: Avinash VyasLyrics: Ramesh Shastri, Saraswati Kumar Deepak",1950,,,
Hindustan Hamara,Paul Zils,"Prithviraj Kapoor, Dev Anand, Nalini Jaywant, Durga Khote, Premnath, P. Jairaj, David, Ulhas, Wasti, K. N. Singh",Social,"Music: Vasant DesaiLyrics: Allama Iqbal, S. R. Saaj, Deewan Sharar",1950,,,
Jalte Deep,Deepak Asha,"Nimmi, Amarnath, Deepak, Leela Mishra, Randhir",Social,"Music: Sardul KwatraLyrics: M.A. Taj, Nazim Panipati, Aziz Kashmiri (1)",1950,,,
Jan Pahchan,Fali Mistry,"Raj Kapoor, Nargis, Shyama, Jeevan, Mukri, Dulari, Amar, Sankatha",Romantic Drama,Music: Khemchand PrakashLyrics: Shakeel Badayuni,1950,,,
Janmashtami,Nanabhai Bhatt,"Bharat Bhushan, Shobhana Samarth, Kanta Kumari, Jeevan, Raj Kumar, Amirbai Karnataki",Devotional,Music: S. B. PathakLyrics: Bharat Vyas,1950,,,
Jodidar,Balwant Bhatt,"Bhagwan, Malti, Shyam Sunder, Kanta Kumari, Chand",Action,"Music: ChitraguptaLyrics: Shyam Hindi, Anjum",1950,,,
Jogan,Kidar Nath Sharma,"Dilip Kumar, Nargis, Purnima, Tabassum, Rajendra Kumar, Manju, Ramesh Thakur, Darpan, Pesi Patel",Social Drama,Music: Bulo C. RaniLyrics: Kidar Sharma,1950,,,
Kamal Ke Phool,D.D. Kashyap,"Suraiya, Amarnath, Shakuntala, Raj Mehra, Badri Prasad, Leela Mishra, Jeevan, Niranjan Sharma",Social,Music: Shyam SunderLyrics: Rajendra Krishan,1950,,,
Khamosh Sipahi,Ram Kamlani,"Nigar Sultana, Gope, Sohan, David",Action,Music: Hansraj BehlLyrics: D. N. Madhok,1950,,,
Khel,S. M. Nawab,"Dev Anand, Nargis, Nigar Sultana, Murad, Neelam, Anwar Hussain",Social Drama,"Music: Sajjad HussainLyrics: Jan Nisar Akhtar, Khawar Zaman, Sagar Nizami, Zia Sarhadi",1950,,,
Khiladi,R. C. Talwar,"Ashok Kumar, Suraiya, Kumar, Indu, Aloke, E. Tarapore, Narmada Shankar, Sunder",Action Romance,"Music: Hansraj BehlLyrics: Naqshab, Rajendra Krishan",1950,,,
Kisi Ki Yaad,Chaturbhuj Doshi,"Bharat Bhushan, Veena, Sulochana Chatterjee, Paro Devi, Jeevan, Badri Prasad, Mumtaz",Drama,"Music: Hansraj BehlLyrics: Qamar Jalalabadi, Varma, Tahir Lakhnavi",1950,,,
Lajawab,Jagatrai Pesumal Advani,"Sohan, Rehana, Kuldip Kaur, Randhir, Iftekhar, Pran",Social,"Music: Anil BiswasLyrics: Prem Dhawan, Shekhar, Safdar Aah",1950,,,
Lavangi,Y. V. Rao,"Rukmini, Shanta Devi, Ramesh Tiwari, R. P. Misra, Leela Bai, Maya Bose",Historical,Music: Bulo C. RaniLyrics: Saraswati Kumar Deepak,1950,,,
Madhubala,Prahlad Dutt,"Dev Anand, Madhubala, Jeevan, Ramesh Thakur, Randhir, Ram Avtar, Manju",Romantic melodrama,"Music: LachhiramLyrics: Rajendra Krishan, I. C. Kapoor",1950,,,
Magroor,R. D. Mathur,"Meena Kumari, P. Jairaj, Rehman, Nigar Sultana, Durga Khote, Mirza Musharraf, Jillobai",Romance Drama,"Music: Sajjad HussainLyrics: Raja Mehdi Ali Khan, Zia Sindhi, Mullaji",1950,,,
Man Ka Meet,Ratilal Punatkar,"Nirupa Roy, Manhar Desai, Dulari, Shanti Madhok, Sarita Devi",Social,"Music: Sardul KwatraLyrics: D. N. Madhok, Sarshar Sailani",1950,,,
Mashaal,Nitin Bose,"Ashok Kumar, Sumitra Devi, Ruma Devi, S. Nasir, Kanu Roy, Arun Kumar, Cuckoo, Nana Palsikar",Social,Music: S. D. BurmanLyrics: Kavi Pradeep,1950,,,
Meena Bazaar,Ravindra Dave,"Shyam, Nargis, Kuldip Kaur, Om Prakash, Gope, Sapru, Chandabai",,Music: Husnlal BhagatramLyrics: Qamar Jalalabadi,1950,,,
Meharbani,K. Amarnath,"Ajit, Begum Para, Yakub, Gope, Cuckoo, Indu Pal, Shanta Pawar",Social Drama,"Music: Hafiz KhanLyrics: Khumar Barabankvi, Anjum Jaipuri, Khawar Zaman",1950,,,
Meri Asha,Dr. Alam,"Agha, Murad, Shanta Kanwar, Nihal, Radha",Social,Music: K. Narayan Rao,1950,,,
Muqaddar,Arvind Sen,"Nalini Jaywant, Sajjan, Kishore Kumar, Radhakrishan, Krishnakant, Iftekhar, Sofia, Samson",Social,"Music: Khemchand PrakashLyrics: Bharat Vyas, Raj Shekhar, Raja Mehdi Ali Khan",1950,,,
Nai Bhabhi,S. D. Narang,"Amarnath, Smriti Biswas, Sunder, Cuckoo, Kaushalya, Maya Devi",Family Drama,"Music: Harbaksh SinghLyrics: Charan Das, B. M. Sharma",1950,,,
Nili,Ratibhai Punatar,"Dev Anand, Suraiya, Shyama, Agha, Dulari, Cuckoo",Romance Drama,Music: S. MohinderLyrics: Surjit Sethi,1950,,,
Nirala,Shanker Mukerji,"Dev Anand, Madhubala, Yakub, Radhakrishan, Mumtaz Ali, Leela Mishra, Narmada Shankar",Social,Music: C.RamchandraLyrics: Pyarelal Santoshi,1950,,,
Nirdosh,Najam Naqvi,"Shyam, Rehana, Kuldip Kaur, K. N. Singh, Om Prakash, Mukri, S. L. Puri, Mishra, S. M. Abbas",Social,"Music: Shyam SundarRaja Mehdi Ali Khan, Asad Bhopali, S. H. Bihari",1950,,,
Nishana,Wajahat Mirza,"Ashok Kumar, Madhubala, Shyama, Geeta Bali, Yakub, Durga Khote, K. N. Singh, S. M. Abbas, Mukri, Balam, Cuckoo, Kanhaiyalal",Social Drama,Music: Khurshid AnwarNakshab Jarchvi,1950,,,
Pagle,Protima Das Gupta,"Gajanan Jagirdar, Begam Para, Agha, Krishna Kumar, Cuckoo, David, Pratima Devi, Mubarak",Social,"Music: V. G. BhatkarLyrics: Behzad Lakhnavi, Kabil Amritsari, Anjum Rehmani",1950,,,
Pardes,M. Sadiq,"Madhubala, Rehman, Karan Dewan, Surendra, Jayant, Cuckoo, Mukri, Shakuntala, Jagdish Sethi, Chanchal",Social Family Drama,Music by Ghulam MohammedLyrics: Shakeel Badayuni,1950,,,
Pehla Aadmi,Bimal Roy,"Smriti Biswas, Pahari Sanyal, Paul Mahendra, Jahar Roy, Hiralal, Asit Sen",Social,Music: R. C. BoralLyrics: Prakash,1950,,,
Putli,Wali,"Mumtaz Shanti, Yakub, Pran, Husn Banu, Cuckoo",Social,Music: Aziz HindiLyrics: Wali Sahab,1950,,,
Pyar,V. M. Vyas,"Raj Kapoor, Nargis, Shyama, Yakub, Nawab, W. M. Khan, Kesari, Kumar",Romance Drama,Music: S. D. BurmanLyrics: Rajendra Krishan,1950,,,
Pyaar Ki Manzil,Keki Mistry,"Rehman, Munawwar Sultana, Gope, Jankidas, Kamal, Pratima Devi",Social,"Music: Husnlal BhagatramLyrics: Shewan Rizvi, Rajendra Krishan",1950,,,
Raj Mukut,Nanubhai Vakil,"P. Jairaj, Nimmi, Veena, Sapru, Baby Tabassum, Ram Singh",Costume Action,Music: GobindramLyrics: Bharat Vyas,1950,,,
Raj Rani,Satish Nigam,"Rehman, Usha Kiran, Meena, Shashikala, Sohan, Cuckoo",Social,Music: Hansraj BehlLyrics: D. N. Madhok,1950,,,
Ram Darshan,Ramesh Gupta,"Bharat Bhushan, Mridula Rani, Shashi Kapoor, Sheela Naik",Religious,Music: Shanker Rao VyasLyrics: Ramesh Gupta,1950,,,
Rangila Musafir,A. Karim,"Bhagwan, Usha Shukla, Babu Rao, Leela Pawar, Shanta Patel",Action,Music: ManoharLyrics: A. Karim,1950,,,
Rupaiya,G. P. Pawar,"Om Prakash, Shashikala, Manmohan, Baby Naaz, Anwaribai, Mirajkar, Kamalkant",Social,Music: P. RamakantLyrics: Indeevar,1950,,,
Sabak,M. Sadiq,"Karan Dewan, Munawwar Sultana, Shyama, Om Prakash, Kumar, Gajanan Jagirdar, Jillobai",Social,Music: A. R. QureshiLyrics: D. N. Madhok,1950,,,
Sachcha Pyaar,Niranjan,"Majnu, Kanta Kumari, Rajan Haksar, Manorama, Cuckoo",Social,Music: Harbans LalLyrics: Satyapal Sharma,1950,,,
Samadhi,Ramesh Saigal,"Ashok Kumar, Nalini Jaywant, Kuldip Kaur, Mubarak, David, Sandhya, Shashi Kapoor, Shyam",Social Patriotic,Music: C. RamchandraLyrics: Rajendra Krishan,1950,,,
Sangeeta,Ramanlal Desai,"Shyam, Suraiya, Nigar Sultana, Radhakrishan, Mumtaz Ali, Pran",Romance Drama,Music: C. RamchandraLyrics: Pyarelal Santoshi,1950,,,
Sangram,Gyan Mukerjee,"Ashok Kumar, Nalini Jaywant, Sajjan, Tiwari, Nawab, Samson, Baby Tabassum",Social Drama,"Music: C. RamchandraLyrics: Raja Mehdi Ali Khan, Vrajendra Gaur",1950,,,
Sargam,P. L. Santoshi,"Raj Kapoor, Rehana, Om Prakash, Mumtaz Ali, Vijayalaxmi, Radhakrishan, Paro Devi, Rattan Kumar, Chandabai, David, Tabassum",Musical,Music: C.RamchandraLyrics: Pyarelal Santoshi,1950,,,
Sartaj,S. Khalil,"Motilal, Munawwar Sultana, Shyama, Ansari, Manorama, Mirza Musharraf",Drama,"Music: Husnlal BhagatramLyrics: Majrooh Sultanpuri, Shewan Rizvi",1950,,,
Sati Narmada,Ishwarlal,"Ishwarlal, Sulochana Chatterjee, Jeevan, Umakant, Salvi, Babu Raje",Devotional,"Music: Khemchand PrakashLyrics: Neelkanth Tiwari, Pandit Phani",1950,,,
Shaan,Jayant Desai,"Suraiya, Rehman, David, Sapru, Manorama, Cuckoo, Amar, Pratima Devi",Social,"Music: Hansraj BehlLyrics: Rajendra Krishan, Kaif Irfani",1950,,,
Shadi Ki Raat,Yashwant Pethkar,"Geeta Bali, Rehman, Vijaylaxmi, Arun Kumar, Leela Mishra, Jankidas, Ansari, Shanta Kunwar",Drama,Music: Gobind RamLyrics: Sarshar Sailani,1950,,,
Sheesh Mahal,Sohrab Modi,"Sohrab Modi, Naseem Banu, Amarnath, Nigar Sultana, Pran, Mubarak, Leela Mishra, A. Shah",Family Drama,"Music: Vasant DesaiLyrics: Shams Lakhnavi, Nazim Panipati",1950,,,
Shri Ganesh Mahima,Homi Wadia,"Mahipal, Meena Kumari, Amarnath, Mulchand, S. N. Tripathi, Dalpat",Devotional,Music: S. N. TripathiLyrics: Ramesh Pandey,1950,,,
Shri Krishna Darshan,A. R. Sheikh,"Usha Kiran, Anant Marathe, Durga Khote, Shakuntala",Devotional,Music: Sudhir PhadkeLyrics: Narendra Sharma,1950,,,
Shri Ram Avtar,W. Garcher,"Shahu Modak, Amarnath, Ratanmala, Asha Rani, Leela Mishra",Religious,Music: Indravadan BhattLyrics: Pandit Shivraj,1950,,,
Surajmukhi,O. P. Dutta,"Shyam, Rehana, Gope, Mukri, Durga Khote, Yashodhara Katju, Randhir, Cuckoo",Social,Music: Husnlal BhagatramLyrics: Rajendra Krishan,1950,,,
Veer Babruwahan,Danabhai Bhatt,"Amarnath, Mridula, S. N. Tripathi, Shashi Kapoor, Umakant, Jankidas, B. M. Vyas",Mythological,Music: ChitraguptaLyrics: Anjum Jaipuri,1950,,,
Veer Bhimsen,Jayant Desai,"Trilok Kapoor, Nirupa Roy, Durga Khote, Ram Singh, Umakant, Vasantrao Pehalwan, Shakuntala",Mythological,"Music: Avinash VyasLyrics: B. P. Bhargav, Saraswati Kumar Deepak",1950,,,
Wafa,J. P. Advani,"Karan Dewan, Nimmi, Yakub, Gope, I S Johar, Gulab, Shyam, Bipin Gupta",Romantic Drama,"Music: Vinod, Bulo C. RaniLyrics: Hasrat Jaipuri, D. N. Madhok, Aziz Kashmiri",1950,,,
25th July,Chitra Mitra,"Chandravati, Pahari Sanyal, Raj Kumar",Social,Music: Nichiketa Ghosh Lyrics: B. M. Sharma,1951,,,
Aaram,D.D. Kashyap,"Madhubala, Dev Anand, Prem Nath, Talat Mehmood, Durga Khote, Hiralal, Manmohan Krishna, Tabassum, Leela Mishra",Romance - 1 Girl & 3 Suitors,"Music: Anil Biswas Lyrics: Rajendra Krishan, Prem Dhawan",1951,,,
Actor,Ramji Arya,"Ramola, Geeta Nazami, Bhagwan, Sunder, Sulochana, Gulzar, Murad",Action Drama,Music: Aziz Hindi-Ibrahim Lyrics: Shewan Rizvi-Nazim Panipati,1951,,,
Adaa,D. C. Goel,"Rehana, Shekhar, Gope, Madan Puri, Mohana, Shanta Kanwar",Action Romance,"Music: Madan Mohan Kohli Lyrics: Behzad Lakhnavi, Raja Mehdi Ali Khan, Saraswati Kumar Deepak, Prem Dhawan",1951,,,
Afsana,B. R. Chopra,"Ashok Kumar, Veena, Pran, Jeevan",Crime Thriller Romance,"Music: Husnlal Bhagatram Lyrics: Gafil Harnalvi, Asad Bhopali, Chander Oberoi, Saraswati Kumar Deepak",1951,,,
Albela,Bhagwan,"Geeta Bali, Bhagwan, Sunder, Pratima Devi, Nihal, Maruti, Dulari, Badri Prasad",Drama Romance,Music: C. Ramchandra Lyrics: Rajendra Krishan,1951,,,
Amanat,Aravind Sen,"Bharat Bhushan, Nazir Hussain, Asha Mathur, Pran, Chand Usmani",Drama Social,Music: Salil Choudhary Lyrics: Shailendra,1951,,,
Andolan,Phani Mujumdar,"Kishore Kumar, Sushma, Pushpa, Manju, Krishnakant, Shivraj, Parshuram",National Social Drama,"Freedom Fight including Gandhi & Patel Satygraha, Simon Commission and 1942 Quit India Agitation. Music: Pannalal Ghosh Lyrics: Indeevar, Niaz Haider, Bankim Chandra Chatterjee",1951,,,
Awaara,Raj Kapoor,"Raj Kapoor, Nargis, Prithviraj Kapoor, Leela Chitnis, K.N.Singh, Shashi Kapoor",Crime Thriller/Romance,"Music: Shankar-Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",1951,,,
Azaadi Ke Baad,D. K. Chatterji,"Meera Mishra, Asit Baran, Pannalal Ghosh, Tandon",Social Drama,Music: K. P. Sen Lyrics: M. Razi Banarsi,1951,,,
Baazi,Guru Dutt,"Dev Anand, Geeta Bali, Kalpana Kartik, Johnny Walker, K. N. Singh, Rashid Khan, Krishan Dhawan",Crime Thriller,Music: Sachin Dev Burman Lyrics: Sahir Ludhianvi,1951,,,
Baadal,Amiya Chakravarty,"Madhubala, Premnath, Purnima, Hiralal, Randhir, S. Nazir, Agha",Action Costume Romance,"Based on Sherwood Forest Legend. Music: Shankar-Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",1951,,,
Babla,Agradoot,"Paresh Banerjee, Naren Bhattacharya, Nibhanani Devi, Jahar Ganguli, Prabhadevi, Pahari Sanyal, Sova Sen",Social,Robin Chatterjee,1951,,,
Bade Bhaiyya,Aspi Irani,"Nirupa Roy, Suresh, Agha, Yakub, Husn Banu, Naaz, Habib",Family Drama,Music: Prem Nath Lyrics: Manohar Khanna,1951,,,
Bade Sahab,G. P. Pawar,"Bhagwan, Leela Gupte, Baburao, Habib, Usha",Social,Music: Nissar Lyrics: Hasrat Jaipuri,1951,,,
Badi Bahu,S. Bhagat,"Nimmi, Shekhar, Sulochana Chatterji, Shivraj, Chanda",Family Drama,Music: Anil Biswas Lyrics: Prem Dhawan,1951,,,
Bahar,,"Vyjayanthimala, Karan Dewan, Pran, Pandhari Bai, Gope, Chaman Puri, Leela Mishra, Om Prakash, Sunder",Romantic Drama,Music: S. D. Burman Lyrics: Rajendra Krishan,1951,,,
Bedardi,Kidar Sharma,"Geeta Bali, Nimmi, Jaswant, Amirbai Karnataki, Nazira, Manju, Rashid Khan, Cuckoo",Social,Music: Lyrics:,1951,,,
Bhai Ka Pyar,Raja Nene,"Nalini Jaywant, Karan Dewan, Jagdish Sethi, Sunalini Devi",Family Drama,Music: Ramchandra Pal Lyrics: Mukhram Sharma,1951,,,
Bhola Shankar,Vishram Bedekar,"Mahipal, Prem Adib, Vijaylaxmi, Bhagwan, Sadhna Bose, Sheela Naik",Mythology,Music: Snehal Bhatkar Lyrics: Bharat Vyas,1951,,,
Bikhare Moti,S. N. Yusuf,"Nigar Sultana, Kamini Kaushal, Jayant, Jeevan, Neelam, Ranjana",Social Drama,Music: Ghulam Mohammed Lyrics: Akhtar ul Iman,1951,,,
Buzdil,Shahid Lateef,"Kishore Sahu, Nimmi, Premnath, Kanhaiyalal, Sunalini Devi, Cuckoo",Social,"Music: S. D. Burman Lyrics: Shailendra, Kaifi Azmi",1951,,,
Damad,Brij Rani,"Bhagwan, Krishna Kumari, Yashodhara Katju, Pratima Devi, Cuckoo, Gajanan Jagirdar",Family,"Music: Indravadan Bhatt, Ram Panjwani (3), Shyamu (1) Lyrics: Bahaar Ajmeri",1951,,,
Daman,Nanabhai Bhatt,"Ajit, Nigar Sultana, Pran, Yashodhara Katju, Agha, Hiralal",Family Drama,"Music: K. Dutta Lyrics: Raja Mehdi Ali Khan, Ehsan Rizvi (1), Rajendra Krishan (1), Anjum Jaipuri (1)",1951,,,
Dasavtaar,Jayant Desai,"Nirupa Roy, Trilok Kapoor, Murad, Jeevan, Niranjan Sharma, Tabassum",Mythological,"Music: Avinash Vyas Lyrics: Saraswati Kumar Deepak (5), B. P. Bhargav (5), Munshi Sagar Hussain (2)",1951,,,
Deedar,Nitin Bose,"Dilip Kumar, Ashok Kumar, Nargis, Nimmi, Sapru",Romantic drama,Music: Naushad Lyrics: Shakeel Badayuni,1951,,,
Deepak,Chandrashekhar,"Prithviraj Kapoor, Vijaylaxmi, Umesh Sharma, Sajjan, Kamal Mehra, Shanti Madhok",Social Drama,"Music: Ram Ganguly Lyrics: Madhukar Rajasthani, Narendra Sharma (2)",1951,,,
Dholak,Roop K. Shorey,"Ajit, Meena Shorey, Manmohan Krishna, Yashodhara Katju, Majnu, Shakuntala",Social Drama,Music: Shyam Sundar Lyrics: Aziz Kashmiri,1951,,,
Dilbar,Raja Ram,"Agha, Raja, Bibi, Tiwari, Leela Kumari, Siddiqui, Mumtaz",,Music: Avinash Sufi Samaj Lyrics: S. A. Ghaffar,1951,,,
Do Sitare,D. D. Kashyap,"Dev Anand, Suraiya, Premnath, Kuldip Kaur, Mumtaz, Shakuntala Paranjpye",Social Drama,Music: Anil Biswas Lyrics: Rajendra Krishan,1951,,,
Ek Nazar,O. P. Dutta,"Nalini Jaywant, Karan Dewan, Kuldip Kaur, Rehman, Gope, Raj Mehra, Randhir",Romantic Drama,Music: S. D. Burman Lyrics: Rajendra Krishan,1951,,,
Ek Tha Ladka,Room Sanware,"Bharat Bhushan, Geeta Bali, Geeta Nizami, Tiwari, Jankidas",Social,"Music: Murari, Rajhans Kataria Lyrics: Ehsan Elahi (3), Rajesh Kumar (5), Kamal R.C. (2)",1951,,,
Ek Tha Raja,K. Ramnath,"M G Ramachandran, Anjali Devi, Pandaribai Madhavi Devi, S V Sahasraman",Costume Drama,Music: C. R. Subramaniam Lyrics: Sudarshan,1951,,,
For Ladies Only a.k.a. Titli,Bedi,"Sadhana Bose, Kuldip Kaur, Rupa Verman, Kamal Mehra, Satish",Social,"Music: Vinod Lyrics: Sohanlal Sahir, B. R. Sharma, Sahrai",1951,,,
Ghayal,Ramchandra Thakur,"Geeta Bali, Sheikh Mukhtar, Sulochana Chatterjee, Jawahar Kaul, Yashwant Dave, Pesi Patel, Mirza Musharaf",Action Social,"Music: Gyan Dutt Lyrics: Saraswati Kumar Deepak, Manohar Khanna",1951,,,
