Title,Director,Cast,Genre,Sources,Year,Music Director,Opening,Opening.1
Baaghi: A Rebel for Love,Deepak Shivdasani,"Salman Khan, Nagma, Shakti Kapoor","Action, Romance",,1990,,,
Baap Numbri Beta Dus Numbri,,"Kader Khan, Shakti Kapoor, Jackie Shroff, Farah, Aditya Pancholi, Sabeeha","Action, Crime, Comedy",[9],1990,,,
Bad-Naam,Anand Girdhar,"Sadashiv Amrapurkar, Verma Malik",,,1990,,,
Bagh Bahadur,Budhadeo Das Gupta,"Pawan Malhotra, Archana Puran Singh",,,1990,,,
Bahaar Aane Tak,Tariq Shah,"Roopali Ganguly, Ram Mohan, Navin Nischol",Family,,1990,,,
Bandh Darwaza,"Shyam Ramsay, Tulsi Ramsay","Hashmat Khan, Manjeet Kular, Kunika","Action, Crime, Horror",[10],1990,,,
Chingariyan,,Danny Denzongpa,,,1990,,,
Chor Pe Mor,Kapil Kapoor,"Naseeruddin Shah, Karan Shah, Neelam Kothari",,[11],1990,,,
C.I.D.,Ajay Goel,"Vinod Khanna, Amrita Singh, Suresh Oberoi",,,1990,,,
College Girl,,"Amita Nangia, Pankaj Berry, Veerendra Singh",,,1990,,,
Deewana Mujh Sa Nahin,Y. Nageshwar Rao,"Aamir Khan, Madhuri Dixit",Romance,[12],1990,,,
Dil,Indra Kumar,"Aamir Khan, Madhuri Dixit, Anupam Kher, Saeed Jaffrey","Comedy, Drama, Romance",,1990,,,
Din Dahade,Yash Chauhan,,,,1990,,,
Disha,Sai Paranjape,"Shabana Azmi, Nana Patekar, Raghuvir Yadav","Comedy, Drama, Musical",,1990,,,
Doodh Ka Karz,Ashok Gaikwad,"Jackie Shroff, Neelam Kothari, Prem Chopra","Action, Crime, Romance, Thriller",[13],1990,,,
Drishti,Govind Nihalani,"Dimple Kapadia, Shekhar Kapur, Mita Vasisht",Drama,[14],1990,,,
Dushman,Shakti Samanta,"Mithun Chakraborty, Mandakini, Sadashiv Amrapurkar",,,1990,,,
Ek Din Achanak,Mrinal Sen,"Shabana Azmi, Dr. Shreeram Lagoo",,,1990,,,
Ek Doctor Ki Maut,,,Drama,,1990,,,
Ek Number Ka Chor,Tajdar Amrohi,"Shagufta Ali, Rita Bhaduri, Aatish Devgan","Action, Crime, Drama",,1990,,,
Ghar Ho To Aisa,Kalpataru,"Anil Kapoor, Meenakshi Sheshadri, Raj Kiran",Family,,1990,,,
Ghar Ki Laxmi,,Shilpa Shirodkar,,,1990,,,
Ghayal,Rajkumar Santoshi,"Sunny Deol, Meenakshi Seshadri, Raj Babbar, Moushumi Chatterjee, Amrish Puri","Action, Thriller",[15],1990,,,
Gunahon Ka Devta,Kawal Sharma,"Sangeeta Bijlani, Mithun Chakraborty, Chandrashekhar",Action,,1990,,,
Haar Jeet,Avtar Bhogal,"Kabir Bedi, Shafi Inamdar, Puneet Issar",,,1990,,,
Hatim Tai,Babubhai Mistry,"Jeetendra, Sangeeta Bijlani, Sonu Walia",Fantasy,,1990,,,
Hamari Shaadi,Basu Chatterjee,Akhil Mishra,,,1990,,,
Haque,Harish Bhonsle,"Aasif Shaikh, Anupam Kher",,,1990,,,
Hum Se Na Takrana,Dipak Bahry,"Shatrughan Sinha, Mithun Chakraborty, Leena Das","Action, Crime, Drama, Horror",,1990,,,
Izzatdaar,K. Bapaiah,"Dilip Kumar, Govinda, Madhuri Dixit, Raghuvaran","Drama, Thriller",,1990,,,
Jaan-E-Wafa,Rukun,"Farooq Shaikh, Rati Agnihotri, Pradeep Khayyam",,,1990,,,
Jagira,,Danny Denzongpa,,,1990,,,
Jai Shiv Shankar,S.A. Chandrashekhar,"Rajesh Khanna, Jeetendra, Dimple Kapadia",,,1990,,,
Jamai Raja,A. Kodandarami Reddy,"Anil Kapoor, Madhuri Dixit, Hema Malini, Shakti Kapoor",Drama,,1990,,,
Jawani Zindabad,Arun Bhatt,"Aamir Khan, Farha Naaz, Kader Khan",Drama,,1990,,,
Jeene Do,,"Sanjay Dutt, Jackie Shroff, Farha Naaz",Action,,1990,,,
Jeevan Ek Sanghursh,Rahul Rawail,"Rakhee Gulzar, Anil Kapoor, Madhuri Dixit",,,1990,,,
Jungle Love,V. Menon,Satish Shah,,,1990,,,
Jurm,Mahesh Bhatt,"Vinod Khanna, Meenakshi Sheshadri, Sangeeta Bijlani",,,1990,,,
Kaafalia,Sudhanshu Hakku,"Sadashiv Amrapurkar, Joy Augustine, Juhi Chawla","Drama, Thriller",,1990,,,
Kaarnama,Ranjeet,"Vinod Khanna, Satyendra Kapoor, Kimi Katkar",,,1990,,,
Kafan,Dhirendra Bohra,"Tina Ghai, Jamuna, Huma Khan",Horror,,1990,,,
Kali Ganga,Raj N. Sippy,"Dimple Kapadia, Govinda, Suresh Oberoi",Action,,1990,,,
Kanoon Ki Zanjeer,P. Lakshman,,,,1990,,,
Karishma Kali Kaa,Ashok Punjabi,"Urmila Bhatt, Anil Dhawan, C.S. Dubey",,,1990,,,
Kasba,Kumar Sahani,"Shaturghan Sinha, Mita Vashishth",,,1990,,,
Kasam Dhande Ki,T. Gautam Bhatia,"Master Bhagwan, Suresh Bhai, Birbal","Action, Crime, Drama, Comedy",,1990,,,
Khatarnaak,,"Sanjay Dutt, Anita Raj, Farha Naaz","Action, Crime, Drama",,1990,,,
Kishen Kanhaiya,Rakesh Roshan,"Anil Kapoor, Madhuri Dixit, Shilpa Shirodkar, Amrish Puri","Drama, Sentiment",,1990,,,
Krodh,Shashilal K. Nair,"Sanjay Dutt, Sonam, Amrita Singh",,,1990,,,
Maha Sangram,Mukul Anand,"Madhuri Dixit, Govinda, Aditya Pancholi",,,1990,,,
Mera Pati Sirf Mera Hai,Manobala,"Jeetendra, Rekha, Radhika",,,1990,,,
Meri Lalkaar,Yash Chauhan,"Sumeet Saigal, Shreepradha, Rohini, Gulshan Grover, Sadashiv Amrapurkar",,,1990,,,
Muqaddar Ka Badshaah,T. Rama Rao,"Vinod Khanna, Shabana Azmi, Vijayshanti, Kader Khan, Asrani, Amrish Puri",Action,,1990,,,
Naka-Bandi,Shibu Mitra,"Dharmendra, Chunky Pandey, Sonam, Sridevi",,,1990,,,
Nyay Anyay,Lawrence D'Souza,"Jeetendra, Jaya Prada, Sumeet Saigal",,,1990,,,
"Pati, Patni Aur Tawaif",Raj Kumar Kohli,"Mithun Chakraborty, Farha, Salma Agha, Amjad Khan",,,1990,,,
Police Public,Esmayeel Shroff,"Vijay Aidasani, Jayshree Arora, Ila Arun","Action, Crime, Drama",,1990,,,
Pratibandh,Ravi Raja Pinisetty,"Chiranjeevi, Juhi Chawla, Rami Reddy",Action,,1990,,,
Pyar Ka Karz,K. Bapaiah,"Dharmendra, Mithun Chakraborty, Meenakshi Seshadri, Sonam",,,1990,,,
Pyaar Ka Toofan,S.M. Iqbal,"Aditya Pancholi, Vijayata Pandit, Jamuna[disambiguation needed], Pran",,,1990,,,
Pyar Ke Naam Qurbaan,B. Subhash,"Mithun Chakraborty, Dimple Kapadia, Mandakini","Action, Crime, Drama, Romance",,1990,,,
Pyasi Nigahen,,"Birbal, Sahila Chaddha, Ajinkya Deo",Thriller,,1990,,,
Qatil Jawani,,"Babloo, Hari, Harish Kumar","Crime, Drama, Thriller",,1990,,,
Qayamat Ki Raat,Harvey-Pappu,,,,1990,,,
Raeeszada,Bharat Kapoor,"Govinda, Shashi Kapoor, Asha Parekh",,,1990,,,
Roti Kee Keemat,Ramesh Ahuja,"Sadashiv Amrapurkar, Rana Jung Bahadur, Mithun Chakraborty, Pran","Action, Crime, Drama",,1990,,,
Sailaab,Deepak Balraj,"Aditya Pancholi, Madhuri Dixit, Shafi Inamdar","Action, Romance",,1990,,,
Sapne Huye Sakaar,Prema Karanth,,,,1990,,,
Shadyantra,Rajan Johri,"Ishrat Ali, Raj Babbar, Urmila Bhatt","Action, Crime, Drama",,1990,,,
Shaitani Ilaaka,Kiran Ramsay,"Sunil Dhawan, Shehnaz Kudia, Neelam Mehra",Horror,,1990,,,
Shandaar,,"Mithun Chakraborty, Meenakshi Seshadri, Juhi Chawla, Danny Denzongpa",,,1990,,,
Shararat,,"Rakesh Roshan, Shubha",,,1990,,,
Sher Dil,Jagdish Sidana,"Dharmendra, Gulshan Grover, Rohini Hattangadi","Action, Crime, Drama",,1990,,,
Shera Shamshera,S.R. Pratap,,,,1990,,,
Sheshnaag,K.R. Reddy,"Jeetendra, Rekha, Rishi Kapoor",,,1990,,,
Shiva,Ram Gopal Verma,"Nagarjuna, Amala, Raghuvaran","Action, Drama",,1990,,,
Sun Sajna,,,,,1990,,,
Swarg,David Dhawan,"Rajesh Khanna, Govinda, Juhi Chawla",Drama,,1990,,,
Tadap,,"Chunky Pandey, Meenakshi Seshadri, Nana Patekar",,,1990,,,
Taqdeer Ka Tamasha,Anand Gaekwad,"Sadashiv Amrapurkar, Moushumi Chatterjee, Suresh Chatwal, Kimi Katkar, Jeetendra, Govinda","Action, Crime, Drama",,1990,,,
Tejaa,Ramnesh Puri,"Sanjay Dutt, Kimi Katkar, Sonu Walia",Action,,1990,,,
Teri Talash Mein,,"Amala, Rana Jung Bahadur, Rita Bhaduri","Crime, Drama, Romance, Thriller",,1990,,,
Thanedaar,Raj Sippy,"Jeetendra, Sanjay Dutt, Jayapradha, Madhuri Dixit","Action, Crime, Drama",,1990,,,
Thodasa Roomani Ho Jaayen,Amol Palekar,"Anita Kanwar, Nana Patekar, Riju Bajaj","Drama, Musical",,1990,,,
Tum Mere Ho,Tahir Hussain,"Aamir Khan, Juhi Chawla",Romance,,1990,,,
Veeru Dada,K.R. Reddy,"Dharmendra, Amrita Singh, Aditya Pancholi","Action, Drama, Adventure",,1990,,,
Wafaa,S. M. Abbas,"Farooque Shaikh, Vijayeta Pandit",,,1990,,,
Zahreelay,Jyotin Goel,"Jeetendra, Sanjay Dutt, Chunky Pandey",Action,,1990,,,
Zakhmi Zameen,Mahendra Shah,"Ishrat Ali, Jaya Prada, Adiya Pancholi, Paresh Rawal",Drama,,1990,,,
Zimmedaaar,Santosh Kumar Chauhan,"Rajiv Kapoor, Anita Raj, Kimi Katkar",,,1990,,,
100 Days,Partho Ghosh,"Jackie Shroff, Madhuri Dixit, Moon Moon Sen, Javed Jaffrey",Thriller,,1991,Ramlaxman,,
Aag Laga Do Sawan Ko,Anup Malik,Harish Patel,,,1991,,,
Aaj Ka Samson,Kuku Kapoor,"Hemant Birje, Sahil Chaddha, Goga Kapoor","Action, Romance",,1991,,,
Aakhri Cheekh,Kiran Ramsay,"Vijay Arora, Anil Dhawan, Vijayendra Ghatge",Horror,,1991,,,
Afsana Pyar Ka,Shahjahan,"Aamir Khan, Neelam Kothari",Romance,,1991,Bappi Lahiri,,
Ajooba,Shashi Kapoor,"Amitabh Bachchan, Rishi Kapoor, Dimple Kapadia, Sonam, Shammi Kapoor, Amrish Puri, Saeed Jaffrey, Dara Singh, Dalip Tahil, Sushma Seth, Tinnu Anand, Narendra Nath",Fantasy Adventure,,1991,Laxmikant Pyarelal,,
Akayla,Ramesh Sippy,"Amitabh Bachchan, Jackie Shroff, Meenakshi Seshadri, Amrita Singh, Aditya Pancholi, Kanwaljit Singh, Keith Stevenson, Mahesh Anand, Shashi Kapoor, Helen",Drama,,1991,Laxmikant Pyarelal,,
Antarnaad,Shyam Benegal,"Girish Karnad, Kulbhushan Kharbanda, Shabana Azmi",Drama,,1991,,,
Ayee Milan Ki Raat,K. Pappu,"Rita Bhaduri, Aruna Irani, Kulbhushan Kharbanda, Avinash Wadhawan, Shaheen",Romance,,1991,Anand-Milind,,
Baarish,Narendra Grewal,"Rahul Roy, Sheeba",,,1991,Anand-Milind,,
Baat Hai Pyaar Ki,,Archana Joglekar,,,1991,,,
Badnaam Rishte,Keyan,"Pratap Chandra, Uma Maheshwari, Nalinikanth","Action, Drama, Thriller",,1991,,,
Banjaran,Harmesh Malhotra,"Rishi Kapoor, Sridevi",,,1991,Laxmikant Pyarelal,,
Begunaah,,"Rajesh Khanna, Ashok Kumar, Farha Naaz","Action, Crime, Drama",,1991,,,
Benaam Badsha,K. Ravi Shankar,"Anil Kapoor, Juhi Chawla, Rohini Hattangadi",Romance,,1991,Laxmikant Pyarelal,,
Bhabhi,Kishore Vyas,"Bhanupriya, Govinda, Juhi Chawla","Comedy, Drama, Family",,1991,Anu Malik,,
Bhediyon Ka Samooh,M.K. Shankar,"P.L. Ahuja, Praful Ambekar, Brahmachari","Action, Crime, Drama",,1991,,,
Dancer,Kishore Vyas,"Akshay Kumar, Krithi Singh, Mohnish Behl",Romance,,1991,Anand Milind,,
Deshwasi,Rajiv Goswami,"Manoj Kumar, Poonam Dhillon, Mandakini, Hema Malini","Action, Drama, Romance",,1991,,,
Maut Ki Sazaa,Devendra Khandelwal,"Ashok Kumar, Anita Raj, Alok Nath",Crime,,1991,,,
Dharam Sankat,N.D. Kothari,"Vinod Khanna, Amrita Singh, Sahila Chaddha","Action, Drama, Family",,1991,,,
Diksha,Arun Kaul,"Sulabha Arya, Vijay Kashyap, Nana Patekar",Drama,,1991,,,
Dil Hai Ke Manta Nahin,Mahesh Bhatt,"Aamir Khan, Pooja Bhatt",Romance,,1991,Nadeem Shravan,,
Do Matwale,Ajay Kashyap,"Sanjay Dutt, Sonam, Gulshan Grover",Action,,1991,Laxmikant Pyarelal,,
Dushman Devta,Anil Ganguly,"Dharmendra, Dimple Kapadia, Gulshan Grover",Action,,1991,Bappi Lahiri,,
Ek Ghar,Girish Kasaravalli,"Chanda, Rohini Hattangadi, Deepti Naval",,,1991,,,
Ek Saas Zindagi,Basu Bhattacharya,,,,1991,,,
Farishtay,Anil Sharma,"Dharmendra, Vinod Khanna, Jayapradha, Sri Devi, Rajnikant, Tom Alter",Action,,1991,Bappi Lahiri,,
Fateh,Talat Jani,"Shabana Azmi, Sanjay Dutt, Sonam",Action,,1991,Naresh Sharma,,
First Love Letter,Shiva,"Arvind Singh, Manisha Koirala, Gulshan Grover, Vivek Mushran",Romance,,1991,Bappi Lahiri,,
Ganga Jamuna Ki Lalkaar,Kanti Shah,"Shagufta Ali, Charan Dev, Goga Kapoor",Action,,1991,,,
Ghar Parivar,,"Rajesh Khanna, Rishi Kapoor, Raj Kiran, Moushumi Chatterjee, Meenakshi Sheshadri",Drama,,1991,,,
Great Target,,"Ashima Bhalla, Nirmal Pandey",Action,,1991,,,
Gunehgar Kaun,Ashok Gaikwad,"Raj Babbar, Mohsin Khan, Sujata Mehta",Action,,1991,'R.D.Burman,,
Hafta Bandh,Deepak Balraj Vij,"Jackie Shroff, Ekta Sohini",,,1991,Bappi Lahiri,,
Henna,Randhir Kapoor,"Rishi Kapoor, Zeba Bakhtiar, Ashwini Bhave, Saeed Jaffrey","Romance, Drama",,1991,Ravindra Jain,,
House No. 13,Baby,"Salim Fateh, Leena Nair, Baby Vijaya",Horror,,1991,,,
Hum,Mukul S. Anand,"Amitabh Bachchan, Rajinikanth, Govinda, Shilpa Shirodkar, Kimi Katkar, Danny Denzongpa, Kader Khan, Anupam Kher","Action, Drama",,1991,Laxmikant Pyarelal,,
Indrajeet,K. V. Raju,"Amitabh Bachchan, Jayapradha, Kumar Gaurav, Neelam Kothari, Saeed Jaffery","Action, Drama",,1991,R. D. Burman,,
Inspector Dhanush,"Shyam, Tulsi","Vishnuvardhan, Sangeeta Bijlani, Suresh Oberoi",,,1991,,,
Iraada,Indrajit Singh,"Shatrughan Sinha, Moon Moon Sen, Om Puri",,,1991,,,
Izzat,Ashok Gaikwad,"Jackie Shroff, Sangeeta Bijlani, Gulshan Grover",Action,,1991,Anu Malik,,
Jaan Ki Kasam,Sushil Malik,"Krishna, Saathi Ganguly, Suresh Oberoi",Adventure,,1991,,,
Jaan Pechaan,Kamal Saigal,"Radha Asrani, Birbal, Sudha Chandran","Comedy, Drama",,1991,,,
Jeena Teri Gali Mein,Tinnu Anand,"Kavita Kapoor, Kunika, Amita Nangia",Romance,,1991,Babul Bose,,
Jeene Ki Sazaa,Nazir Herekar,"Abhi Bhattacharya, Sudha Chandran, Anita Chopra",Drama,,1991,,,
Jeevan Daata,Swaroop Kumar,"Chunky Pandey, Aditya Pancholi, Kimi Katkar",,,1991,,,
Jhooti Shaan,Ranjan Bose,"Mithun Chakraborty, Poonam Dhillon, Shabana Azmi",Drama,,1991,R. D. Burman,,
Jigarwala,Swaroop Kumar,"Urmila Bhatt, Shahid Bijnori, Biswajeet",,,1991,,,
Jungle Beauty,Dilip Gulati,"Joshina, Rajeev Kumar, Puneet Issar","Action, Adventure",,1991,,,
Kadardaan,Kawal Sharma,Sandeep,,,1991,,,
Karz Chukana Hai,Vimal Kumar,"Govinda, Juhi Chawla, Raj Kiran",Action,,1991,Rajesh Roshan,,
Kasba,Kumar Shahani,"Hansra, K. K. Raina, Manohar Singh",,,1991,,,
Kaun Kare Kurbanie,Arjun Hingorani,"Dharmendra, Govinda, Anita Raj, Sonu Walia",Drama,,1991,Kalyanji Anandji,,
Khilaaf,Rajeev Nagpaul,"Chunky Pandey, Madhuri Dixit","Action, Comedy, Crime, Drama, Romance",,1991,Laxmikant–Pyarelal,,
Khoon Ka Karz,Mukul S. Anand,"Vinod Khanna, Dimple Kapadia, Rajnikanth, Sanjay Dutt, Kimi Katkar","Action, Crime, Drama",,1991,Laxmikant–Pyarelal,,
Khooni Panja,Vinod Talwar,"Anil Dhawan, Jagdeep, Javed Khan",Horror,,1991,,,
Khooni Raat,,"Beena Banerjee, Saahil Chadha, Huma Khan",Horror,,1991,,,
Kohraam,Kuku Kohli,"Sadashiv Amrapurkar, Dharmendra, Chunky Pandey, Sonam",,,1991,,,
Kurbaan,Deepak Bahry,"Sunil Dutt, Salman Khan, Ayesha Jhulka",Romance,,1991,Anand Milind,,
Lakhpati,Jal Baliwala,Nirupa Roy,,,1991,,,
Lakshmanrekha,Sunil Sikand,"Vikas Anand, Suresh Bhagwat, Sangeeta Bijlani, Pran",Drama,,1991,,,
Lamhe,Yash Chopra,"Anil Kapoor, Sridevi, Waheeda Rehman, Anupam Kher","Romance, Drama",,1991,Shiv-Hari,,
Love,Suresh Krissna,"Salman Khan, Revathi, Amjad Khan",Romance,,1991,Anand Milind,,
Maa,Ajay Kashyap,"Jeetendra, Jayapradha, Aruna Irani",Drama,,1991,Anu Malik,,
Mast Kalandar,Rahul Rawail,"Dharmendra, Dimple Kapadia, Shammi Kapoor, Anupam Kher",Action,,1991,,,
Meena Bazar,,"Poonam Dasgupta, Roopali Ganguly, Om Puri",Drama,,1991,,,
Meet Mere Man Ke,Mehul Kumar,"Salma Agha, Prasenjit Chatterjee, Shafi Inamdar",,,1991,,,
Mehandi Ban Gai Khoon,R.S. Ghelan,"Birbal, Juhi Chawla, Jankidas",Action,,1991,,,
Naamcheen,Ajit Dewani,"Ektaa Bahl, Gulshan Grover, Suhas Joshi",Crime,,1991,,,
Naag Mani,V. Menon,"Sumeet Saigal, Shikha Swaroop, Alok Nath, Kiran Kumar",Fantasy,,1991,Anu Malik,,
Nachnewala Gaanewale,Babbar Subhash,"Chandrashekhar, Raja Duggal, Saathi Ganguly, Kader Khan",,,1991,,,
Narsimha,N. Chandra,"Sunny Deol, Dimple Kapadia, Urmila Matondkar",Action,,1991,Laxmikant Pyarelal,,
Nazar,Mani Kaul,"A.A. Baig, Asha Dandavate, Shekhar Kapur",,,1991,,,
Numbri Aadmi,Swaroop Kumar,"Ishrat Ali, Rakesh Bedi, Master Bhagwan, Kimi Katkar, Sangeeta Bijlani, Sonu Walia, Mithun Chakraborty","Action, Crime, Drama",,1991,,,
Paap Ki Aandhi,Mehul Kumar,"Dharmendra, Aditya Pancholi, Farah Naaz, Amrita Singh",,,1991,,,
Patthar Ke Phool,Anant Balani,"Salman Khan, Raveena Tandon, Vinod Mehra","Romance, Thriller",,1991,Ramlaxman,,
Phool Aur Kaante,Sandesh Kohli,"Ajay Devgn, Madhoo, Aruna Irani, Jagdeep, Amrish Puri",Thriller,,1991,Nadeem Shravan,,
Phool Bane Angaray,K.C. Bokadia,"Rekha, Rajnikanth, Prem Chopra",Action,,1991,Bappi Lahiri,,
Pita,Govind Nihalani,"Vimal Bhagat, Satyadev Dubey, Irfan",,,1991,,,
Prahaar: The Final Attack,Nana Patekar,"Nana Patekar, Madhuri Dixit, Dimple Kapadia",Action,,1991,Laxmikant Pyarelal,,
Pratigyabadh,Ravi Chopra,"Beena Banerjee, Mithun Chakraborty, Sunil Dutt, Kumar Gaurav, Neelam Kothari",,,1991,,,
Pratikar,Rama Rao Tatineni,"Rakhee Gulzar, Anil Kapoor, Madhuri Dixit","Action, Crime, Drama",,1991,,,
Prem Qaidi,K. Muralimohana Rao,"Karishma Kapoor, Harish Kumar, Shafi Inamdar, Paresh Rawal","Romantic, Drama",,1991,Anand Milind,,
Pyaar Ka Saaya,Vinod Verma,"Amrita Singh, Rahul Roy, Sheeba Akashdeep",Drama,,1991,Nadeem-Shravan,,
Pyar Bhara Dil,Chandra Barot,"Rakesh Bedi, Dinesh Hingoo, Reema Lagoo","Drama, Romance",,1991,,,
Qurbani Rang Layegi,Raj N. Sippy,"Sanjay Dutt, Poonam Dhillon, Padmini Kolhapure","Drama, Family",,1991,,,
Ramgarh Ke Sholay,Ajit Dewani,"Kishore Anand Bhanushali, Dinesh Hingoo, Amjad Khan","Action, Comedy, Crime, Drama, Romance",,1991,Anu Malik,,
Ranbhoomi,Deepak Sareen,"Rishi Kapoor, Jeetendra, Dimple Kapadia, Shatrughan Sinha, Neelam Kothari","Action, Drama",,1991,Laxmikant Pyarelal,,
Roohani Taaqat,Mohan Bhakri,"Jagdeep, Javed Khan, Kiran Kumar",Horror,,1991,,,
Rukvamati's Mansion,Govind Nihalani,"Ila Arun, Uttara Baokar, Jyoti Subash Chandra",,,1991,,,
Rupaye Dus Karod,Sikander Bharti,"Rajesh Khanna, Chunky Pandey, Amrita Singh",,,1991,,,
Saajan,Lawerence D'Souza,"Sanjay Dutt, Salman Khan, Madhuri Dixit",Romance,,1991,Nadeem Shravan,,
Saathi,Mahesh Bhatt,"Aditya Pancholi, Mohsin Khan, Varsha Usgaonkar","Action, Romance",,1991,Nadeem Shravan,,
Sadak,Mahesh Bhatt,"Sanjay Dutt, Pooja Bhatt, Deepak Tijori, Neelima Azeem",Romance,,1991,Nadeem Shravan,,
Sanam Bewafa,Saawan Kumar Tak,"Salman Khan, Chandni, Kanchan, Pran, Danny Denzongpa",,,1991,Mahesh-Kishore,,
Sapnon Ka Mandir,Pradip Jain,"Jeetendra, Jayapradha","Action, Crime, Drama, Family",,1991,,,
Sau Crore,Dev Anand,"Dev Anand, Sonika Gill, Vikram Gokhale",,,1991,,,
Saudagar,Subhash Ghai,"Raaj Kumar, Dilip Kumar, Manisha Koirala, Amrish Puri","Romance, Drama",,1991,Laxmikant Pyarelal,,
Saugandh,Raj N. Sippy,"Akshay Kumar, Raakhee Gulzar, Rupali Ganguly","Action, Family",,1991,Anand Milind,,
Shankara,Sudarshan Nag,"Alpana, Sunny Deol, Sulabha Deshpande",,,1991,Laxmikant–Pyarelal,,
Shikari: The Hunter,Umesh Mehra,"Mithun Chakraborty, Naseeruddin Shah, Irina Kushnareva, Varsha Usgaonkar",Action,,1991,Anu Malik,,
Shiv Ram,Jagdish A. Sharma,"Jeetendra, Aditya Pancholi, Sadashiv Amrapurkar",,,1991,,,
Swarg Jaisaa Ghar,Swaroop Kumar,"Raj Babbar, Sumeet Saigal, Aashif Sheikh",,,1991,,,
Swarg Yahan Narak Yahan,Vimal Kumar,"Mithun Chakraborty, Shilpa Shirodkar, Sumalatha","Action, Comedy, Drama, Crime",,1991,Rajesh Roshan,,
Swayam,Mahesh Bhatt,"Waheeda Rehman, Paresh Rawal",,,1991,,,
The Magnificent Guardian,"Shyam Ramsay, Tulsi Ramsay","Shagufta Ali, Beena Banerjee, Hemant Birje",,,1991,,,
Trinetra,Harry Baweja,"Mithun Chakraborty, Dharmendra, Deepa Sahi, Shilpa Shirodkar",Action,,1991,Anand Milind,,
Vishkanya,Jagmohan Mundra,"Kunal Goswami, Pooja Bedi, Kabir Bedi",Action,,1991,Bappi Lahiri,,
Vishnu-Devaa,K. Pappu,"Sunny Deol, Aditya Pancholi, Neelam Kothari",,,1991,Rajesh Roshan,,
Yaara Dildara,Mirza Brothers,"Aashif Sheikh, Ruchika Pandey, Amjad Khan","Romance, Drama",,1991,Jatin-Lalit,,
Yeh Aag Kab Bujhegi,Sunil Dutt,"Sunil Dutt, Rekha, Kabir Bedi",Drama,,1991,Ravindra Jain,,
Zaher,Jyoti Swaroop,"Arjun, Iqbal Durrani, Alka Kubal",,,1991,,,
Yaad Rakhegi Duniya,Deepak Anand,"Aditya Pancholi, Rukhsar Rehman",Romance,,1992,,JAN,10.0
Vishwatma,Rajiv Rai,"Naseeruddin Shah, Sunny Deol, Chunky Pandey, Divya Bharti, Sonam, Jyotsna Singh, Amrish Puri, Gulshan Grover, Raza Murad",Action,,1992,,JAN,24.0
Vansh,Pappu Verma,"Siddharth Ray, Sudesh Berry, Ekta Sohini, Anupam Kher",Action,,1992,,JAN,24.0
