Title,Director,Cast,Genre,Sources,Year,Source,Composer,Music director
Lootmaar,Dev Anand,"Dev Anand, Tina Munim, Mehmood Ali, Nirupa Roy, Raakhee, Amjad Khan, Prem Chopra, Shakti Kapoor, Ranjeet","Action, Thriller",,1980,,,
Maan Abhiman,Hiren Nag,"Raj Kiran, Kavita Kiran, Yunus Parvez","Drama, Family",,1980,,,
Mahashakti,K.S. Giri,"Narasimha Raju, Madhavi, Jayamalini",,,1980,,,
Man Pasand,Basu Chatterjee,"Dev Anand, Tina Munim, Girish Karnad","Comedy, Drama, Family",,1980,,,
Manokaamnaa,Kedar Kapoor,"Urmila Bhatt, Shail Chaturvedi, Kalpana Iyer","Drama, Romance",,1980,,,
Morchha,Ravikant Nagaich,"Aruna, Ravi Behl, Chandrashekhar",,,1980,,,
Nazrana Pyar Ka,S.M. Sagar,"Raj Babbar, Master Bhagwan, Brahm Bhardwaj",Drama,,1980,,,
Neeyat,Anil Ganguly,"Shashi Kapoor, Jeetendra, Rekha","Family, Drama",,1980,,,
Nishana,K. Raghavendra Rao,"Asrani, Prem Chopra, Mohan Choti",,,1980,,,
Oh Bewafa,Saawan Kumar Tak,"Rajendra Kumar, Anil Dhawan, Yogeeta Bali","Drama, Romance",,1980,,,
Patita,I. V. Sasi,"Shoma Anand, Vikram, Raj Kiran",,,1980,,,
Patthar Se Takkar,Gulab Mehta,"Master Bhagwan, Urmila Bhatt, Birbal, Pran","Action, Crime, Thriller",,1980,,,
Payal Ki Jhankaar,Satyan Bose,"Alankar Joshi, Komal Mahuvakar, Surinder Kaur",Romance,,1980,,,
Phir Wohi Raat,Danny Denzongpa,"Rajesh Khanna, Kim, Danny Denzongpa","Crime, Horror, Mystery",,1980,,,
Pyaara Dushman,Anand Sagar,"Rakesh Roshan, Vidya Sinha, Yogeeta Bali",Action,,1980,,,
Qatil Kaun,Amit Bose,,,,1980,,,
Qurbani,Feroz Khan,"Feroz Khan, Vinod Khanna, Zeenat Aman, Amjad Khan, Shakti Kapoor, Mac Mohan, Kader Khan",Romance,,1980,,,
Raksha Bandhan,Shantilal Soni,"Lalita Pawar, Sachin, Sarika",,,1980,,,
Ram Balram,Vijay Anand,"Dharmendra, Amitabh Bachchan, Zeenat Aman, Rekha, Ajit Khan, Amjad Khan, Prem Chopra, Helen",Action,,1980,,,
Red Rose,Bharathi Rajaa,"Rajesh Khanna, Poonam Dhillon, Aruna Irani","Adventure, Crime, Musical, Romance, Thriller",,1980,,,
Saajan Mere Main Saajan Ki,Hiren Nag,"Raj Babbar, Kaajal Kiran, Raj Kiran",,,1980,,,
Saboot,"Shyam Ramsay, Tulsi Ramsay","Navin Nischol, Vidya Sinha, Kaajal Kiran",Thriller,,1980,,,
Sanjh Ki Bela,Madhusudan,"Nutan, Joy Mukherjee, Rehman",Romance,,1980,,,
Satah Se Uthata Aadmi,Mani Kaul,"Gopi, Vibhuti Jha, Satyen Kumar",,,1980,,,
Sau Din Saas Ke,Vijay Sadanah,"Ashok Kumar, Raj Babbar, Reena Roy, Asha Parekh",Drama,,1980,,,
Shaan,Ramesh Sippy,"Sunil Dutt, Shashi Kapoor, Amitabh Bachchan, Shatrughan Sinha, Kulbhushan Kharbanda, Rakhee Gulzar, Parveen Babi, Bindiya Goswami, Johny Walker, Mac Mohan",Action,,1980,,,
Shadi Se Pahale,,"Dheeraj Kumar, Raj Mehra, Rajendra Nath",,,1980,,,
Shiv Shakti,,"Ramesh Deo, Jayshree T.",,,1980,,,
Sitara,Meraj,"Mithun Chakraborty, Zarina Wahab, Kanhaiyalal","Drama, Family",,1980,,,
Sparsh,Sai Paranjape,"Shabana Azmi, Naseeruddin Shah, Sudha Chopra",,,1980,,,
Swayamvar,P. Sambasiva Rao,"Shashi Kapoor, Sanjeev Kumar, Moushumi Chatterjee, Vidya Sinha","Drama, Family, Action, Comedy",,1980,,,
Takkar,K. Bapaiah,"Sanjeev Kumar, Jeetendra, Zeenat Aman, Jayapradha",,,1980,,,
Taxi Chor,Sushil Vyas,Mithun Chakraborty,,,1980,,,
Teen Ekkey,,"Helen, Kiran Kumar, Rajendra Nath",,,1980,,,
The Burning Train,Ravi Chopra,"Dharmendra, Hema Malini, Vinod Khanna, Parveen Babi, Jeetendra, Neetu Singh, Vinod Mehra, Danny",Action,,1980,,,
The Naxalites,Khwaja Ahmad Abbas,"Jalal Agha, Mithun Chakraborty, Bijaya Jena",Drama,,1980,,,
Thodisi Bewafaii,Esmayeel Shroff,"Rajesh Khanna, Shabana Azmi, Padmini Kolhapure","Drama, Family",,1980,,,
Trilok Sundari,Singeetham Srinivasa Rao,"Mohan Babu, Pandharibai",,,1980,,,
Unees-Bees,Swaroop Kumar,"Yogeeta Bali, Rita Bhaduri, Mithun Chakraborty",,,1980,,,
Yari Dushmani,Sikandar Khanna,"Sunil Dutt, Reena Roy, Amjad Khan",,,1980,,,
Yeh Kaisa Insaf?,Narayana Rao Dasari,"Vinod Mehra, Shabana Azmi, Sarika",Drama,,1980,,,
Zakhmon Ke Nishan,Diljeet Bassi,"Vijay Arora, Vinod Mehra",,,1980,,,
Zalim,B. Subhash,"Leena Chandavarkar, Vinod Khanna, Nirupa Roy, Pran",,,1980,,,
Aakhri Mujra,Hiren Nag,"Ajit Khan, Asha Parekh",Drama,,1981,,,
Biwi-O-Biwi,Randhir Kapoor,"Randhir Kapoor, Poonam Dhillon, Sanjeev Kumar",Comedy,,1981,,,
Bhula Na Dena,,"Rakesh Roshan, Kajal Kiran, Helen",,,1981,,,
Chashme Buddoor,Sai Paranjpye,"Ravi Baswani, Rakesh Bedi, Farooq Shaikh, Deepti Naval",Drama,,1981,,,
Chehre Pe Chehra,Raj Tilak,"Sanjeev Kumar, Vinod Mehra, Rekha, Sulakshana Pandit",Thriller,,1981,,,
Commander,Rakesh Kumar,"Amjad Khan, Tanuja, Arun Govil",,,1981,,,
Daasi,Raj Khosla,"Sanjeev Kumar, Rekha, Moushumi Chatterjee, Rakesh Roshan",Drama,,1981,,,
Dahshat,"Shyam Ramsay, Tulsi Ramsay","Navin Nischol, Sarika, Om Shivpuri, Nadira Babbar",Horror,,1981,,,
Dard,,"Rajesh Khanna, Hema Malini",,,1981,,,
Dhanwan,,"Rajesh Khanna, Reena Roy, Rakesh Roshan",,,1981,,,
Dhuaan,Dulal Guha,"Mithun Chakraborty, Raakhee Gulzar, Ranjeeta, Amjad Khan",,,1981,,,
Ek Aur Ek Gyarah,Ashok Roy,"Shashi Kapoor, Vinod Khanna, Zarina Wahab, Neetu Singh",Comedy,,1981,,,
Ek Hi Bhool,T. Rama Rao,"Jeetendra, Rekha","Family, Drama",,1981,,,
Fiffty Fiffty,Somu Mukherjee,"Rajesh Khanna, Tina Munim, Kader Khan",,,1981,,,
Ganga Maang Rahi Balidan,Radhakant,"Sohrab Modi, Hina Kausar, Dev Kumar",Drama,,1981,,,
Gehra Zakhm,Deepak Bahry,"Vinod Mehra, Ranjeeta Kaur",Romance,,1981,,,
Ghamandee,Ramesh Bedi,"Mithun Chakraborthy, Sarika",Action,,1981,,,
Ghungroo Ki Awaaz,"Shyam Ramsay, Tulsi Ramsay","Vijay Anand, Rekha",Drama,,1981,,,
Gramayan,Arun Khopkar,"Tushar Dalvi, Parzun Dastur, Amin Gazi",,,1981,,,
Guru Suleman Chela Pahelwan,Radhakant,"Mehmood, Dara Singh, Padma Khanna",Comedy,,1981,,,
Harjaee,,"Randhir Kapoor, Tina Munim, Shammi Kapoor",,,1981,,,
Hotel,,"Navin Nischol, Rakesh Roshan, Bindiya Goswami",Mystery,,1981,,,
Hum Se Badkar Kaun,Deepak Bahry,"Amjad Khan, Mithun Chakraborty, Danny Denzongpa, Vijendra, Ranjeeta, Kajal Kiran, Kalpana Iyer, Ranjeet",,,1981,,,
Itni Si Baat,,"Sanjeev Kumar, Moushmi Chatterjee",,,1981,,,
Jail Yatra,,"Vinod Khanna, Reena Roy",,,1981,,,
Jeene Ki Arzoo,Rajashekar,"Mithun Chakraborthy, Rakesh Roshan, Rati Agnihotri",Romance,,1981,,,
Jiyo To Aise Jiyo,,"Mithun Chakraborty, Ranjeeta, Talluri Rameshwari, Madan Puri",,,1981,,,
Josh,,"Amjad Khan, Vidya Sinha",,,1981,,,
Jwala Daku,R. P. Swamy,"Salma Agha, Birbal, Urmila Bhatt",Drama,,1981,,,
Jyoti,,"Jeetendra, Hema Malini, Vijendara Ghatge, Ashok Kumar",,,1981,,,
Kaalia,Tinnu Anand,"Amitabh Bachchan, Parveen Babi, Pran, Asha Parekh, Kader Khan, K. N. Singh, Amjad Khan",Action,,1981,,,
Kaaran,B. R. Ishara,"Ramesh Deo, Shoma Anand, Aruna Irani",Romance,,1981,,,
Kachche Heere,Narendra Bedi,"Feroz Khan, Reena Roy, Danny Denzongpa",Action,,1981,,,
Kahan Kahan Se Guzar Gaya,M. S. Sathyu,"Anil Kapoor, Pankaj Kapur, Farah Khan",Drama,,1981,,,
Kahani Ek Chor Ki,S. Ramanathan,"Moushumi Chatterjee, Jeetendra, Vinod Mehra, Nirupa Roy",Drama,,1981,,,
Kal Hamara Hai,Girish Ranjan,"Asrani, Aarti Bhattacharya, A. K. Hangal, Padma Khanna",Drama,,1981,,,
Kalyug,Shyam Benegal,"Shashi Kapoor, Rekha, Raj Babbar",Drama,,1981,,,
Kanhaiyaa,Khalid Sami,"Master Amit, Master Chaitanya, Asha Chandra","Action, Crime, Drama",,1981,,,
Kanoon Aur Mujrim,,"Padma Khanna, Jayshree T.",,,1981,,,
Katilon Ke Kaatil,"Anil Hingorani, Arjun Hingorani","Dharmendra, Rishi Kapoor, Zeenat Aman, Tina Munim, Nirupa Roy, Amjad Khan, Shakti Kapoor",Romance,,1981,,,
Khara Khota,B.R. Ishara,,,,1981,,,
Khatta Meetha,Basu Chatterjee,"Ashok Kumar, Rakesh Roshan, Bindiya Goswami, Deven Verma","Comedy, Drama, Family",,1981,,,
Khawaja Ki Diwani,,"Bharat Bhushan, Arpana Choudhary, Mazhar Khan",,,1981,,,
Khel Muqaddar Ka,Veerendra,"Bharat Bhushan, Asha Parekh, Dara Singh","Action, Family",,1981,,,
Khilte Suman,Sukhdev Ahluwalia,,,,1981,,,
Khoon Aur Paani,Chand,"Feroz Khan, Jeetendra, Parveen Babi, Rekha, Ranjeet, Ajit, Nirupa Roy",,,1981,,,
Khoon Ka Rishta,Samir Ganguly,"Mukri, Prashanth, Jagdeep, Jeetendra, Pran",,,1981,,,
Khoon Ki Takkar,,"Vinod Mehra, Ranjeeta Kaur, Neeta Mehta, Ranjeet",,,1981,,,
Khuda Kasam,,"Vinod Khanna, Tina Munim, Pran",,,1981,,,
Kranti,Manoj Kumar,"Dilip Kumar, Manoj Kumar, Shashi Kapoor, Shatrughan Sinha, Hema Malini, Parveen Babi, Nirupa Roy, Prem Chopra, Tom Alter","Action, Patriotic",,1981,,,
Krodhi,Subhash Ghai,"Dharmendra, Shashi Kapoor, Zeenat Aman, Hema Malini, Sachin, Poonam Dhillon, Pran, Premnath",,,1981,,,
Kudrat,Chetan Anand,"Rajesh Khanna, Vinod Khanna, Hema Malini, Priya Rajhans, Raaj Kumar",,,1981,,,
Laawaris,Prakash Mehra,"Amitabh Bachchan, Zeenat Aman, Amjad Khan, Raakhee Gulzar, Ranjeet, Suresh Oberoi, Priti Sapru, Shriram Lagoo, Jeevan",,,1981,,,
Ladaaku,,"Vijay Arora, Jagdeep, Shakti Kapoor, Amjad Khan",,,1981,,,
Ladies Tailor,,"Sanjeev Kumar, Reena Roy, Pran",,,1981,,,
Laparwah,Ravikant Nagaich,"Prem Bedi, Birbal, Mithun Chakraborty",,,1981,,,
Love Story,Rahul Rawail,"Kumar Gaurav, Vijeta Pandit, Rajendra Kumar, Danny Denzongpa, Amjad Khan",Romance,,1981,,,
Maan Gaye Ustaad,Shibu Mitra,"Pran, Shashi Kapoor, Hema Malini",,,1981,,,
Madhuman,,,,,1981,,,
Mahabali Hanuman,,,,,1981,,,
Mahfil,,,,,1981,,,
Main Aur Mera Haathi,,,,,1981,,,
Mangalsutra,,Rekha,,,1981,,,
Meena Kumari Ki Amar Kahani,,,,,1981,,,
Meri Aawaz Suno,S. V. Rajendra Singh,"Jeetendra, Hema Malini, Parveen Babi",Action,,1981,,,
Nai Imarat,,,,,1981,,,
Nakhuda,,"Raj Kiran, Swaroop Sampat, Kulbhushan Kharbanda",,,1981,,,
Naram Garam,Hrishikesh Mukherjee,"Amol Palekar, Swaroop Sampat, Shatrughan Sinha, Utpal Dutt, A. K. Hangal, Kiran Vairahle",Comedy,,1981,,,
Nari,S. K. Chand,,,,1981,,,
Naseeb,Manmohan Desai,"Amitabh Bachchan, Shatrughan Sinha, Rishi Kapoor, Hema Malini, Reena Roy, Kim Yashpal, Pran, Kader Khan, Amjad Khan, Prem Chopra, Shakti Kapoor, Amrish Puri, Yusuf Khan","Action, Comedy, Romance",,1981,,,
Paanch Qaidi,,,,,1981,,,
Pehla Adhyay,,,,,1981,,,
Plot No. 5,,,,,1981,,,
Poonam,,"Raj Babbar, Poonam Dhillon, Shakti Kapoor",,,1981,,,
Prem Geet,,"Raj Babbar, Anita Raj",,,1981,,,
Professor Pyarelal,Brij Sadanah,"Dharmendra, Zeenat Aman, Vinod Mehra, Shammi Kapoor, Simi Garewal, Amjad Khan",,,1981,,,
Pyaasa Sawan,,"Jeetendra, Moushumi Chatterjee, Reena Roy",,,1981,,,
Raaz,Harmesh Malhotra,"Raj Babbar, Helen",Drama,,1981,,,
Roohi,,,,,1981,,,
Rocky,Sunil Dutt,"Sanjay Dutt, Tina Munim, Reena Roy, Sunil Dutt, Ranjeet, Shakti Kapoor, Gulshan Grover, Amjad Khan",,,1981,,,
Saajan Ki Saheli,Sawaan Kumar,"Nutan, Rajendra Kumar, Vinod Mehra, Rekha",,,1981,,,
Sadgati,Satyajit Ray,"Om Puri, Smita Patil",Drama,,1981,,,
Sahhas,,Mithun Chakraborty,,,1981,,,
Sameera,,,,,1981,,,
Sannata,,,,,1981,,,
Sansani: The Sensation,,,,,1981,,,
Shakka,,"Jeetendra, Simple Kapadia, Pinchoo Kapoor",,,1981,,,
Shama,Kader Khan,"Shabana Azmi, Kader Khan",,,1981,,,
Sharada,,"Jeetendra, Talluri Rameshwari",,,1981,,,
Shikari,,,,,1981,,,
Shradhanjali,,"Raakhee Gulzar, Suresh Oberoi, Arun Govil",,,1981,,,
Silsila,Yash Chopra,"Amitabh Bachchan, Jaya Bachchan, Rekha, Sanjeev Kumar, Shashi Kapoor","Romantic, Drama",,1981,,,
Tajurba,,,,,1981,,,
Umrao Jaan,Muzaffar Ali,"Rekha, Farooque Sheikh, Naseeruddin Shah",Drama,,1981,,,
"Vasiqedars, The Pensioners of Avadh",,,,,1981,,,
Waqt Ki Deewar,Ravi Tandon,"Pran, Sanjeev Kumar, Jeetendra, Neetu Singh, Sulakshana Pandit",,,1981,,,
Wardat,Ravikant Nagaich,"Mithun Chakraborty, Kaajal Kiran, Iftekhar",Thriller,,1981,,,
Woh Phir Nahin Aaye,,,,,1981,,,
Yaraana,Rakesh Kumar,"Amitabh Bachchan, Amjad Khan, Neetu Singh, Kader Khan, Ranjeet, Jeevan",Drama,,1981,,,
Yeh Rishta Na Tootay,,,,,1981,,,
Zamane Ko Dikhana Hai,Nasir Hussain,"Rishi Kapoor, Padmini Kolhapure, Amjad Khan, Kader Khan, Tariq Khan",,,1981,,,
Aadat Se Majboor,Irfan Malik,"Irfan Malik, Nadeen Aldah, Falak Naaz Khan, Sromona","Action, Crime, Drama, Family",,1982,,,
HmHyatt,Irfan Malik,"Irfan Malik, Nadeem Aldah, Falak Naaz Khan, Sromona, Mr. Vasai, Neeraj Yadav",Comedy,,1982,,,
Aadharshila,Ashok Ahuja,"Anita Kanwar, Annu Kapoor, Pankaj Kapur",,,1982,,,
Aagaman,Muzaffar Ali,"Rani Deepa, Anupam Kher, Suresh Oberoi",Drama,,1982,,,
Aamne Samne,Ashim S. Samanta,"Mithun Chakraborty, Aarti Geeta, Tarun Ghosh",Action,,1982,,,
Angoor,Gulzar,"Sanjeev Kumar, Deven Verma, Moushumi Chatterjee",Comedy,,1982,,,
Anmol Sitaare,Geeta Priya,"Master Baboo, Rakesh Bedi, Ramesh Deo",Drama,,1982,,,
Anokha Bandhan,Mehul Kumar,"Shabana Azmi, Seema Deo, Aruna Irani",Drama,,1982,,,
Aparoopa,Jahnu Barua,"Gopi Desai, Jagdeep, Girish Karnad",,,1982,,,
Apmaan,Ami Asthana,"Ami Asthana, Suresh Chatwal, Manik Irani",Drama,,1982,,,
Apna Bana Lo,J. Om Prakash,"Jeetendra, Rekha, Shakti Kapoor","Drama, Family",,1982,,,
Apradhi Kaun?,Mohan Bhakri,"Javed Khan, Rajni Sharma, Arpana Choudhary",Thriller,,1982,,,
Arth,Mahesh Bhatt,"Shabana Azmi, Smita Patil",Drama,,1982,,,
Ashanti,Umesh Mehra,"Rajesh Khanna, Mithun Chakraborty, Zeenat Aman, Parveen Babi, Shabana Azmi","Action, Adventure, Crime",,1982,,,
Ayaash,Shakti Samanta,"Sanjeev Kumar, Rati Agnihotri, Arun Govil",Romance,,1982,,,
Baawri,A. C. Tirulokchandar,"Jayapradha, Yogeeta Bali, Shreeram Lagoo",Family,,1982,,,
Bachche Teen Aur Daku Chhe,Govind Saraiya,,,,1982,,,
Badle Ki Aag,Raj Kumar Kohli,"Sunil Dutt, Dharmendra, Jeetendra",Action,,1982,,,
Baghavat,Ramanand Sagar,"Dharmendra, Hema Malini, Reena Roy","Action, Romance",,1982,,,
Barrister,Salil M. Ghosh,"Arun Govil, Vinod Mehra, Sulakshana Pandit",Drama,,1982,,,
Bazaar,Sagar Sarhadi,"Farooq Shaikh, Smita Patil, Naseeruddin Shah","Drama, Family",,1982,,,
Bemisal,Hrishikesh Mukherjee,"Amitabh Bachchan, Rakhee Gulzar, Vinod Mehra","Drama, Family",,1982,,,
Bezubaan,Bapu,"Shashi Kapoor, Reena Roy, Raj Kiran","Drama, Romance",,1982,,,
Badshah,,"Irfan Malik, Nadeem Aldah, Falaknaaz Khan, Sromona",,,1982,,,
Bhai Aakhir Bhai Hota Hai,R.C Nanda,"Kumari Naaz, Monty Nath",,,1982,,,
Bheegi Palkein,Sisir Misra,"Raj Babbar, Smita Patil, Dina Pathak",Romance,,1982,,,
Chalti Ka Naam Zindagi,Kishore Kumar,"Kishore Kumar, Rita Bhaduri, Master Bhagwan, Harindranath Chattopadhyay",,,1982,,,
Chambal Ke Daku,,Javed Khan,,,1982,,,
Chorni,Jyoti Sarup,"Jeetendra, Neetu Singh, Shreeram Lagoo",Family,,1982,,,
Dard Ka Rishta,Sunil Dutt,"Sunil Dutt, Reena Roy, Smita Patil",Drama,,1982,,,
Daulat,Mohan Segal,"Vinod Khanna, Zeenat Aman, Amjad Khan","Action, Crime, Drama, Family",,1982,,,
Davedar,,,,,1982,,,
Deedar-E-Yaar,Harnam Singh Rawail,"Jeetendra, Rekha, Rishi Kapoor","Drama, Romance",,1982,,,
Desh Premee,Manmohan Desai,"Amitabh Bachchan, Sharmila Tagore, Hema Malini, Parveen Babi, Amjad Khan, Kader Khan, Shammi Kapoor, Jeevan","Action, Drama",,1982,,,
Dharam Kanta,Sultan Ahmed,"Raaj Kumar, Rajesh Khanna, Jeetendra Waheeda Rehman, Reena Roy, Sulakshana Pandit","Action, Drama, Family",,1982,,,
Dial 100,S. Ramanathan,Ashok Kumar,,,1982,,,
Dil Hi Dil Mein,Desh Gautam,"Manju Bhatia, Dhumal, Iftekhar",,,1982,,,
Dil Ka Sathi Dil,,"Kamal Hassan, Zarina Wahab",,,1982,,,
Dil-e-Nadaan,C.V. Sridhar,"Rajesh Khanna, Jayapradha, Shatrughan Sinha","Drama, Romance",,1982,,,
Dil... Akhir Dil Hai,Esmayeel Shroff,"Rakhee Gulzar, Parveen Babi, Naseeruddin Shah",Drama,,1982,,,
Disco Dancer,Babbar Subhash,"Mithun Chakraborty, Kim Yashpal","Musical, Drama",,1982,,,
Do Dishayen,Dulal Guha,"Dharmendra, Hema Malini",,,1982,,,
Do Guru,Ravi Tandon,"Shashi Kapoor, Padma Khanna, Neetu Singh",Action,,1982,,,
Do Ustad,S.D. Narang,"Shatrughan Sinha, Reena Roy, Danny Denzongpa",,,1982,,,
Dulha Bikta Hai,Anwar Pasha,"Raj Babbar, Anita Raj, Simple Kapadia","Family, Drama",,1982,,,
Farz Aur Kanoon,K. Raghavendra Rao,"Jeetendra, Hema Malini, Rati Agnihotri, Raj Kiran",,,1982,,,
Ghazab,Dixit,"Seema Deo, Dharmendra, Krishan Dhawan, Rekha","Drama, Family",,1982,,,
Gopichand Jasoos,Naresh Kumar,"Raj Kapoor, Zeenat Aman, I.S. Johar",Comedy,,1982,,,
Gumsum,Dayanand,"Arun Govil, Madhu Kapoor, Shakti Kapoor",Drama,,1982,,,
Haathkadi,Surendra Mohan,"Sanjeev Kumar, Reena Roy, Shatrughan Sinha","Family, Thriller, Drama",,1982,,,
Hamari Bahu Alka,Basu Chatterjee,"Rakesh Roshan, Bindiya Goswami, Utpal Dutt",,,1982,,,
Hearbeat,Biplab Roy Chowdhury,"Utpal Dutt, Anita Kanwar, Amol Palekar",Drama,,1982,,,
Heeron Ka Chor,,,,,1982,,,
Insaan,Narendra Bedi,"Jeetendra, Vinod Khanna, Reena Roy","Drama, Family",,1982,,,
Jaanwar,S. Ali Raza,"Rajesh Khanna, Zeenat Aman, Pradeep Kumar, Pran","Action, Drama",,1982,,,
Jawalaa Dahej Ki,Chaman Nillay,"Shoma Anand, Arun Govil, Sonia Sahni",,,1982,,,
Jeeo Aur Jeene Do,Shyam Ralhan,"Jeetendra, Reena Roy, Danny Denzongpa, Pran",,,1982,,,
Jeevan Dhaara,Rama Rao Tatineni,"Rekha, Raj Babbar, Amol Palekar, Simple Kapadia",Drama,,1982,,,
Jivan Rahasya,Bhimsain,,Animation,,1982,,,
Johny I Love You,Rakesh Kumar,"Sanjay Dutt, Rati Agnihotri, Suresh Oberoi","Action, Romance",,1982,,,
Kaamchor,K. Vishwanath,"Rakesh Roshan, Jayapradha, Tanuja","Drama, Family",,1982,,,
Kanchan Aur Ganga,Mehul Kumar,Kiran Kumar,,,1982,,,
Kanya Dweep,Ramanna,Jayshree T.,Musical,,1982,,,
Kasam Durga Ki,,"Padma Khanna, Raza Murad, Rajni Sharma",,,1982,,,
Khud-Daar,Ravi Tandon,"Sanjeev Kumar, Amitabh Bachchan, Vinod Mehra, Parveen Babi, Mehmood Ali",Drama,,1982,,,
Khush Naseeb,,"Padmini Kolhapure, Vinod Mehra",,,1982,,,
Lakshmi,B.S. Thapa,"Reena Roy, Raj Babbar, Ranjeet",Drama,,1982,,,
Lubna,,"Prema Narayan, Kanwaljit Singh",,,1982,,,
Main Intequam Loonga,Rama Rao Tatineni,"Dharmendra, Reena Roy, Shreeram Lagoo",,,1982,,,
Maine Jeena Seekh Liya,Bhisham Kohli,"Mohammad Asif, Rajni Bala, Geeta Behl","Drama, Romance",,1982,,,
Maut Ka Saya,Tulsi Ramsay,"Geeta Behl, Anil Dhawan, Vijayendra Ghatge",Drama,,1982,,,
Meharbaani,"Ajit Singh Deol, A. Nairang","Mahendra Sandhu, Sarika, Narendra Nath",,,1982,,,
Mehndi Rang Layegi,Narayana Rao Dasari,"Jeetendra, Rekha, Anita Raj","Drama, Family",,1982,,,
Nadiya Ke Paar,Govind Moonis,"Inder Thakur, Mitali, Savita Bajaj","Drama, Family",,1982,,,
Namak Halaal,Prakash Mehra,"Amitabh Bachchan, Shashi Kapoor, Waheeda Rehman, Smita Patil, Parveen Babi, Ranjeet, Om Prakash",Drama,,1982,,,
Namkeen,Gulzar,"Sanjeev Kumar, Sharmila Tagore, Waheeda Rehman, Shabana Azmi",Drama,,1982,,,
Nikaah,B. R. Chopra,"Raj Babbar, Salma Agha",Romance,,1982,,,
Partner,Anil Tejani,"Deepti Naval, Pran, Shakti Kapoor",,,1982,,,
Prem Rog,Raj Kapoor,"Rishi Kapoor, Padmini Kolhapure, Shammi Kapoor, Nanda, Tanuja, Sushma Seth, Kulbhushan Kharbanda, Raza Murad","Drama, Romance, Musical, Social",,1982,,,
Pyaar Ke Rahi,Atma Ram,"Padmini Kapila, Jyoti Sarup, Kanwaljit Singh",,,1982,,,
Pyaar Mein Sauda Nahin,,"Rakesh Bedi, Raj Kiran, Sharat Saxena",,,1982,,,
Pyara Tarana,K. Balachander,"Asrani, Kamal Hassan, Shafi Inamdar",,,1982,,,
Raakh Aur Chingari,,Vinod Mehra,,,1982,,,
Raaste Pyar Ke,V.B. Rajendra Prasad,"Jeetendra, Rekha, Shabana Azmi","Drama, Family",,1982,,,
Raj Mahal,K. Parvez,"Asrani, Neetu Singh, Vinod Khanna",Drama,,1982,,,
Rajput,Vijay Anand,"Rajesh Khanna, Dharmendra, Hema Malini","Action, Crime, Romance",,1982,,,
Ramnagari,Kantilal Rathod,"Sulabha Deshpande, Suhasini Mulay, Ram Nagarkar",Drama,,1982,,,
Rustom,Dara Singh,"Dara Singh, Tanuja, Sohrab Modi",,,1982,,,
Saath Saath,Raman Kumar,"Rakesh Bedi, Sudha Chopra, Avtar Gill",Drama,,1982,,,
Samraat,Mohan Segal,"Dharmendra, Jeetendra, Hema Malini","Action, Thriller",,1982,,,
Sanam Teri Kasam,Narendra Bedi,"Reena Roy, Kamal Hassan, Jagdeep","Drama, Family, Crime, Romance, Comedy",,1982,,,
Sant Gyaneshwar,,"Kanan Kaushal, Mahesh Kothare, Dev Kumar",,,1982,,,
Sati Aur Bhagwan,,Vijay Arora,,,1982,,,
Satte Pe Satta,Raj Sippy,"Amitabh Bachchan, Hema Malini, Ranjeeta Kaur, Amjad Khan, Shakti Kapoor, Sachin",Comedy,,1982,,,
Saugandh,Ravikant Nagaich,,,,1982,,,
Sawaal,Ramesh Talwar,"Shashi Kapoor, Sanjeev Kumar, Waheeda Rehman","Drama, Family",,1982,,,
Shadi Shadi,Bhimsain,,Animation,,1982,,,
Shakti,Ramesh Sippy,"Dilip Kumar, Amitabh Bachchan, Raakhee, Smita Patil, Kulbhushan Kharbanda, Amrish Puri, Anil Kapoor",Drama,,1982,,,
Shaukeen,Basu Chatterjee,"Ashok Kumar, A.K. Hangal, Utpal Dutt, Mithun Chakraborty, Rati Agnihotri",Comedy,,1982,,,
Shiv Charan,Anil Kumar,"Chandana Choudhary, Jankidas, Vinod Mehra",,,1982,,,
Shriman Shrimati,Vijaya Reddy,"Sanjeev Kumar, Rakhee Gulzar, Rakesh Roshan","Comedy, Drama, Family",,1982,,,
Sindoor Bane Jwala,K. Bapaiah,"Sanjeev Kumar, Sharada",,,1982,,,
Situm,"Arunavikas, Arunavikas","Naseeruddin Shah, Smita Patil, Vikram","Drama, Family",,1982,,,
Star,Vinod Pande,"Kumar Gaurav, Rati Agnihotri, Padmini Kolhapure",Romance,,1982,,,
Sultana Daku,Mohammed Hussain,"Dara Singh, Ajit Khan, Helen",Action,,1982,,,
Sumbandh,Shibu Mittra,"Ashok Kumar, Vinod Mehra, Rati Agnihotri","Action, Drama, Thriller, Romance",,1982,,,
Sun Sajna,Chander Bahl,"Mithun Chakraborty, Ranjeeta Kaur, Iftekhar","Drama, Family, Romance",,1982,,,
Suraag,"Jagmohan Mundhra, Ambrish Sangal","Sanjeev Kumar, Shabana Azmi, Rajesh Khanna","Thriller, Mystery",,1982,,,
Swami Dada,Dev Anand,"Dev Anand, Mithun Chakraborty, Rati Agnihotri","Action, Drama, Family",,1982,,,
Taaqat,,"Vinod Khanna, Parveen Babi, Rakhee Gulzar, Pran",,,1982,,,
