Title,Director,Cast,Genre,Sources,Year,1974Rank,1976Rank,1969Rank,1978Rank,1979Rank
Anamika,Raghunath Jhalani,"Sanjeev Kumar, Jaya Badhuri",Drama,,1973,,,,,
Anhonee,Ravi Tandon,"Sanjeev Kumar, Leena Chandavarkar, Kamini Kaushal, Bindu",Drama,,1973,,,,,
Anokhi Ada,Kundan Kumar,"Jeetendra, Rekha, Vinod Khanna",Romance,,1973,,,,,
Bada Kabutar,Deven Verma,"Rehana Sultan, Amitabh Bachchan, Helen",Comedy,,1973,,,,,
Banarasi Babu,Shankar Mukherjee,"Dev Anand, Raakhee, Yogeeta Bali",Drama,,1973,,,,,
Bandhe Haath,O. P. Ralhan,"Amitabh Bachchan, Mumtaz",Action,,1973,,,,,
Barkha Bahar,Amar Kumar,"Navin Nischol, Rekha",Romance,,1973,,,,,
Black Mail,Vijay Anand,"Dharmendra, Raakhee, Madan Puri, Shatrughan Sinha",Thriller,,1973,,,,,
Bobby,Raj Kapoor,"Rishi Kapoor, Dimple Kapadia, Pran",Romance,,1973,,,,,
Chhalia,Mukul Dutt,"Navin Nischol, Nanda, Shatrughan Sinha",Action,,1973,,,,,
Chhupa Rustam,Vijay Anand,"Dev Anand, Hema Malini, Vijay Anand",Action,,1973,,,,,
Daag: A Poem of Love,Yash Chopra,"Rajesh Khanna, Sharmila Tagore, Raakhee",Romance,,1973,,,,,
Daaman Aur Aag,,"Sanjay Khan, Saira Banu",,,1973,,,,,
Dhamkee,Kalpataru,"Subhash Ghai, Vinod Khanna",Thriller,,1973,,,,,
Dharma,Chand,"Navin Nischol, Rekha, Pran, Ajit Khan, Prem Chopra",Action,,1973,,,,,
Dhund,B.R. Chopra,"Sanjay Khan, Zeenat Aman, Danny Denzongpa",Thriller,,1973,,,,,
Dil Ki Rahen,B. R. Ishara,"Rakesh Pandey, Rehana Sultan",Drama,,1973,,,,,
Do Phool,S. Ramanathan,"Vinod Mehra, Aruna Irani, Mehmood Ali",Comedy,,1973,,,,,
Door Nahin Manzil,,"Pradeep Kumar, Sanjeev Kumar",,,1973,,,,,
Duvidha,Mani Kaul,"Ravi Menon, Raisa Padamsee",Drama,,1973,,,,,
Ek Kunwari Ek Kunwara,Prakash Mehra,"Rakesh Roshan, Leena Chandavarkar, Pran",Drama,,1973,,,,,
Ek Mutthi Aasmaan,Virender Sinha,"Vijay Arora, Yogeeta Bali, Pran",Drama,,1973,,,,,
Ek Nari Do Roop,,"Nadira, Shatrughan Sinha",Drama,,1973,,,,,
Gaai Aur Gori,M. A. Thirumugam,"Jaya Bhaduri, Shatrughan Sinha",Drama,,1973,,,,,
Ghaddaar,Harmesh Malhotra,"Yogeeta Bali, Vinod Khanna, Pran",Drama,,1973,,,,,
Garam Hawa,M. S. Sathyu,"Balraj Sahni, Shaukat Azmi",Drama,,1973,,,,,
Gehri Chaal,C.V. Sridhar,"Jeetendra, Hema Malini, Amitabh Bachchan",Thriller,,1973,,,,,
Ghulam Begam Badshah,Jambu,"Shatrughan Sinha, Anil Dhawan, Moushumi Chatterjee",Drama,,1973,,,,,
Haathi Ke Daant,B. R. Ishara,Rakesh Pandey,Drama,,1973,,,,,
Hanste Zakhm,Chetan Anand,"Navin Nischol, Priya Rajvansh, Balraj Sahni",Romance,,1973,,,,,
Heera,Sultan Ahmed,"Sunil Dutt, Asha Parekh",Action,,1973,,,,,
Heera Panna,Dev Anand,"Dev Anand, Raakhee, Zeenat Aman",Romance,,1973,,,,,
Hifazat,K.S.R. Das,"Vinod Mehra, Asha Sachdev, Ashok Kumar, Lalita Pawar",Drama,,1973,,,,,
Hindustan Ki Kasam,Chetan Anand,"Raaj Kumar, Priya Rajvansh, Amjad Khan, Amrish Puri",Action,,1973,,,,,
Honeymoon,Hiren Nag,"Leena Chandavarkar, Anil Dhawan",Comedy,,1973,,,,,
Hum Sab Chor Hain,,"Dara Singh, Sadhana",Drama,,1973,,,,,
Insaaf,Adurthi Subba Rao,"Waheeda Rehman, Tanuja, Vijay Arora, Pran",Drama,,1973,,,,,
Jaise Ko Taisa,Murugan Kumaran,"Jeetendra, Reena Roy",Drama,,1973,,,,,
Jalte Badan,Ramanand Sagar,"Kiran Kumar, Kumkum, Pradeep Kumar",Drama,,1973,,,,,
Jheel Ke Us Paar,Bhappi Sonie,"Dharmendra, Mumtaz, Pran",Romance,,1973,,,,,
Joshila,Yash Chopra,"Dev Anand, Raakhee, Hema Malini, Pran",Thriller,,1973,,,,,
Jugnu,Pramod Chakravorty,"Dharmendra, Hema Malini, Pran",Drama,,1973,,,,,
Jwar Bhata,Adurthi Subba Rao,"Dharmendra, Saira Banu",Drama,,1973,,,,,
Jyot Jale,Satyen Bose,Nirupa Roy,Drama,,1973,,,,,
Kahani Hum Sab Ki,Rajkumar Kohli,"Lalita Pawar, Mala Sinha",Drama,,1973,,,,,
Kahani Kismat Ki,Arjun Hingorani,"Dharmendra, Rekha",Action,,1973,,,,,
Kashmakash,Feroz Chinoy,"Rekha, Feroz Khan, Shatrughan Sinha",Action,,1973,,,,,
Keemat,Ravikant Nagaich,"Rekha, Dharmendra, Prem Chopra",Action,,1973,,,,,
Khoon Khoon,Mohammed Hussain,"Danny Denzongpa, Rekha",Action,,1973,,,,,
Kachche Dhaage,Raj Khosla,"Vinod Khanna, Kabir Bedi, Moushumi Chatterjee",Action,,1973,,,,,
Kunwara Badan,Vimal Tewari,,Drama,,1973,,,,,
Loafer,A. Bhimsingh,"Dharmendra, Mumtaz",Romance,,1973,,,,,
Maha Sati Savitri,Chandrakant,"Jayshree Gadkar, Upendra Trivedi",Fantasy,,1973,,,,,
Manchali,Raja Nawathe,"Sanjeev Kumar, Leena Chandavarkar",Romance,,1973,,,,,
Mehmaan,Kotayya Pratyagatma,"Rekha, Biswajeet, Leela Chitwas",Crime,,1973,,,,,
Mera Desh Mera Dharam,Dara Singh,"Dara Singh, Raj Kapoor",Drama,,1973,,,,,
Nafrat,Shyam Ralhan,"Rakesh Roshan, Yogeeta Bali",Romance,,1973,,,,,
Nai Duniya Naye Log,B. R. Ishara,"Danny Denzongpa, Reena Roy",Drama,,1973,,,,,
Naina,Kanak Mishra,"Shashi Kapoor, Moushumi Chatterjee",Drama,,1973,,,,,
Namak Haraam,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Rekha",Drama,,1973,,,,,
Naya Nasha,Hari Dutt,"Nanda, Madan Puri",Action,,1973,,,,,
Nirdosh,S.M. Sagar,"Vinod Mehra, Yogeeta Bali",Drama,,1973,,,,,
Paanch Dushman,Shyam Ralhan,"Vinod Khanna, Pran",Action,,1973,,,,,
Rickshawala,K. Shankar,"Mala Sinha, Randhir Kapoor, Neetu Singh, Pran",,,1973,,,,,
Saudagar,Shubendu Roy,"Nutan, Amitabh Bachchan, Padma Khanna",Drama,,1973,,,,,
Shareef Budmaash,Raj Khosla,"Dev Anand, Hema Malini",,,1973,,,,,
Yaadon Ki Baaraat,Nasir Hussain,"Dharmendra, Zeenat Aman, Vijay Arora, Tariq Khan, Ajit Khan, Neetu Singh",Drama,,1973,,,,,
Zanjeer,Prakash Mehra,"Amitabh Bachchan, Jaya Badhuri, Pran",Action,,1973,,,,,
Roti Kapda Aur Makaan,,"Manoj Kumar, Shashi Kapoor, Amitabh Bachchan, Zeenat Aman, Moushumi Chatterjee",,,1974,1.0,,,,
Chor Machaye Shor,,"Shashi Kapoor, Mumtaz, Asrani",,,1974,2.0,,,,
Dost,,"Dharmendra, Hema Malini, Shatrughan Sinha",,,1974,3.0,,,,
Prem Nagar,,"Rajesh Khanna, Hema Malini, Aruna Irani",,,1974,4.0,,,,
Geeta Mera Naam,,"Sadhana, Sunil Dutt, Feroz Khan & Helen",,,1974,5.0,,,,
Bidaai,,"Jeetendra, Leena Chandavarkar",,,1974,6.0,,,,
Amir Garib,,"Dev Anand, Hema Malini",,,1974,7.0,,,,
Roti,,"Rajesh Khanna, Mumtaz",,,1974,8.0,,,,
Patthar Aur Payal,,"Dharmendra, Hema Malini, Vinod Khanna",,,1974,9.0,,,,
Aap Ki Kasam,,"Rajesh Khanna, Mumtaz, Sanjeev Kumar",,,1974,10.0,,,,
Aaja Sanam,Yusuf Naqvi,"Feroz Khan, Tanuja",Romance,,1975,,,,,
Aag Aur Toofan,Tanvir Ahmed,"Mumtaz, Robin Kumar, Anwar Hussain, Rajan Haskar",,,1975,,,,,
Aakhri Daao,,"Jeetendra, Saira Banu",,Writer - Salim / Javed,1975,,,,,
Aakraman,J. Om Prakash,"Ashok Kumar, Sanjeev Kumar, Rekha, Rakesh Roshan, Rajesh Khanna",,,1975,,,,,
Aandhi,Gulzar,"Suchitra Sen, Sanjeev Kumar",Drama,,1975,,,,,
Alakh Niranjan,,,,,1975,,,,,
Amanush,Shakti Samanta,"Uttam Kumar, Sharmila Tagore, Utpal Dutt",,,1975,,,,,
Anari,Asit Sen,"Shashi Kapoor, Sharmila Tagore, Moushumi Chatterjee, Kabir Bedi, Kader Khan",Romance,,1975,,,,,
Andhera,,"Sameer Khan, Vani Ganpati",,,1975,,,,,
Andolan,Lekh Tandon,"Rakesh Pandey, Neetu Singh",,,1975,,,,,
Anokha,Jugal Kishore,"Shatrughan Sinha, Zareena Wahab (first film)",,,1975,,,,,
Apne Dushman,,Reena Roy,,,1975,,,,,
Apne Rang Hazaar,Ravi Tandon,"Sanjeev Kumar, Leena Chandavarkar, Danny Denzongpa, Bindu",,,1975,,,,,
Badnaam,Dilip Bose,"Nazima, Baldev Khosa, Sujit Kumar, Jalal Agha",Drama,[2],1975,,,,,
Balak Aur Janwar,Nanabhai Bhatt,"Mohan Choti, Dulari, Kanan Kaushal, Baldev Khosa",,,1975,,,,,
Biwi Kiraya Ki,,,,,1975,,,,,
Chaitali,Hrishikesh Mukherjee,"Dharmendra, Saira Banu",,,1975,,,,,
Charandas Chor,,Smita Patil's first movie,,,1975,,,,,
Chori Mera Kaam,,"Shashi Kapoor, Zeenat Aman, Pran",,,1975,,,,,
Chupke Chupke,Hrishikesh Mukherjee,"Dharmendra, Amitabh Bachchan, Jaya Badhuri, Sharmila Tagore",Romance,,1975,,,,,
Dafaa 302,,"Randhir Kapoor, Rekha",,,1975,,,,,
Deewaar,Yash Chopra,"Amitabh Bachchan, Shashi Kapoor, Neetu Singh, Parveen Babi",Drama,,1975,,,,,
Dharam Karam,Raj Kapoor,"Raj Kapoor, Randhir Kapoor, Rekha",,,1975,,,,,
Dharmatma,Feroz Khan,"Feroz Khan, Hema Malini, Rekha, Danny Denzongpa, Ranjeet, Jeevan","Action, Thriller",,1975,,,,,
Dhoti Lota Aur Chowpatty,,,,,1975,,,,,
Do Jasoos,,"Shailendra Singh, Bhavna Bhatt, Raj Kapoor, Rajendra Kumar",,,1975,,,,,
Do Jhoot,,"Vinod Mehra, Moushumi Chatterjee, Pran",,,1975,,,,,
Do Thug,,"Shatrughan Sinha, Hema Malini",,,1975,,,,,
Dulhan,C.V. Rajendran,"Jeetendra, Hema Malini",Drama,,1975,,,,,
Ek Mahal Ho Sapno Ka,,"Dharmendra, Sharmila Tagore, Leena Chandavarkar",,,1975,,,,,
Faraar,,"Sanjeev Kumar, Sharmila Tagore, Amitabh Bachchan",,,1975,,,,,
Geet Gaata Chal,Hiren Nag,"Sachin, Sarika, Urmila Bhatt","Drama, Family, Musical, Comedy",,1975,,,,,
Hero,,,,,1975,,,,,
Himalay Se Ooncha,B. S. Thapa,"Sunil Dutt, Mallika Sarabhai, Ranjeet, Master Raju, Baby Bittoo",Adventure,,1975,,,,,
Jaan Hazir Hai,,"Shekhar Kapur, Prem kishan Prema, Naraen Dir, Vijay Anand",,,1975,,,,,
Jaggu,,"Shatrughan Sinha, Leena Chandavarkar",,,1975,,,,,
Jai Santoshi Maa,Vijay Sharma,"Bharat Bhushan, Kanan Kaushal",,,1975,,,,,
Julie,K. S. Sethumadhavan,"Vikram Makandar, Lakshmi, Nadira, Om Prakash",,Sridevi (child artist),1975,,,,,
Kaagaz Ki Nao,,"Raj Kiran, Sarika",,,1975,,,,,
Kahte Hain Mujhko Raja,,"Dharmendra, Hema Malini, Biswajeet, Rekha",,,1975,,,,,
Kala Sona,,"Feroz Khan, Parveen Babi",,,1975,,,,,
Khel Khel Mein,Ravi Tandon,"Rishi Kapoor, Neetu Singh, Rakesh Roshan",Drama,,1975,,,,,
Khushboo,Gulzar,"Jeetendra, Hema Malini, Sharmila Tagore",Drama,,1975,,,,,
Lafange,Harmesh Malhotra,"Randhir Kapoor, Mumtaz, Pran",Drama,,1975,,,,,
Mausam,Gulzar,"Sanjeev Kumar, Sharmila Tagore",Romance,,1975,,,,,
Mazaaq,,"Vinod Mehra, Moushumi Chatterjee",,,1975,,,,,
Mere Sajna,,"Navin Nischol, Raakhee",,,1975,,,,,
Mere Sartaj,,"Zaheera, Satish Kaul",,,1975,,,,,
Mili,Hrishikesh Mukherjee,"Amitabh Bachchan, Jaya Badhuri, Ashok Kumar",Romance,,1975,,,,,
Natak,,"Vijay Arora, Moushumi Chatterjee",,,1975,,,,,
Neelima,,Zahida,,,1975,,,,,
Nishant,Shyam Benegal,"Anant Nag, Shabana Azmi, Sadhu Meher",,,1975,,,,,
Ponga Pandit,,"Randhir Kapoor, Nita Mehta, Prema Narayan, Danny Denzongpa",,,1975,,,,,
Pratigya,Dulal Guha,"Dharmendra, Hema Malini, Ajit Khan",Action,,1975,,,,,
Prem Kahani,Raj Khosla,"Rajesh Khanna, Mumtaz, Shashi Kapoor, Vinod Khanna",Drama,,1975,,,,,
Qaid,Atma Ram,"Vinod Khanna, Leena Chandavarkar, Mehmood Ali",Action,,1975,,,,,
Rafoo Chakkar,,"Rishi Kapoor, Neetu Singh, Paintal",,,1975,,,,,
Raftaar,,"Vinod Mehra, Moushumi Chatterjee",,,1975,,,,,
Raja,,"Rishi Kapoor, Sulakshana Pandit",,,1975,,,,,
Rani Aur Lalpari,,"Jeetendra, Reena Roy, Neetu Singh, Asha Parekh, Feroz Khan",,,1975,,,,,
Saazish,Kalidas,"Dharmendra, Saira Banu","Action, Thriller Suspense",,1975,,,,,
Salaakhen,,"Shashi Kapoor, Sulakshana Pandit",,,1975,,,,,
Sankalp,,,,,1975,,,,,
Sanyasi,Sohanlal Kanwar,"Manoj Kumar, Hema Malini, Prem Chopra, Pran",Drama,,1975,,,,,
Sewak,,"Vinod Khanna, Neetu Singh",,,1975,,,,,
Sholay,Ramesh Sippy,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan, Hema Malini, Jaya Badhuri, Mac Mohan, Sachin, Asrani, Jagdeep","Drama, Action, Romance",,1975,,,,,
Sunehra Sansar,,"Rajendra Kumar, Hema Malini",,,1975,,,,,
Toofan,,"Vikram, Priyadarshini",,,1975,,,,,
Toofan Aur Bijlee,Homi Wadia,"Zaheera, Arvind Kumar, Imtiaz, Randhawa, Bhagwan, Tun Tun, Mohan Choti, Habib",Action,,1975,,,,,
Tumhara Kalloo,,,,,1975,,,,,
Uljhan,,"Sanjeev Kumar, Sulakshana Pandit",,,1975,,,,,
Umar Qaid,Sikandar Khanna,"Jeetendra, Vinod Mehra, Sunil Dutt, Reena Roy, Moushumi Chatterjee",,,1975,,,,,
Vandana,,,,,1975,,,,,
Vardaan,Arun Bhatt,"Vinod Mehra, Reena Roy, Mehmood",Drama,,1975,,,,,
Warrant,,"Dev Anand, Zeenat Aman, Pran",,,1975,,,,,
Zakhmee,,"Sunil Dutt, Asha Parekh, Reena Roy, Rakesh Roshan, Tariq Khan",,,1975,,,,,
Zameer,,"Amitabh Bachchan, Saira Banu, Shammi Kapoor, Vinod Khanna",,,1975,,,,,
Zinda Dil,,"Rishi Kapoor, Neetu Singh, Zaheera, Pran",,,1975,,,,,
Zindagi Aur Toofan,,"Sajid Khan, Rehana Sultan, Yogeeta Bali",,,1975,,,,,
Zorro,,"Navin Nischol, Rekha",,,1975,,,,,
Nagin,,"Reena Roy, Sunil Dutt, Jeetendra, Feroz Khan, Mumtaz, Rekha, Vinod Mehra, Sanjay Khan, Yogeeta Bali",,,1976,,1.0,,,
Laila Majnu,,"Rishi Kapoor, Ranjeeta",,,1976,,2.0,,,
Dus Numbri,,"Manoj Kumar, Hema Malini, Pran",,,1976,,3.0,,,
Hera Pheri,,"Amitabh Bachchan, Saira Banu, Vinod Khanna, Sulakshana Pandit",,,1976,,4.0,,,
Charas,,"Dharmendra, Hema Malini",,,1976,,5.0,,,
Fakira,,"Shashi Kapoor, Shabana Azmi, Danny Denzongpa",,,1976,,6.0,,,
Kalicharan,,"Shatrughan Sinha, Reena Roy",,,1976,,7.0,,,
Kabhie Kabhie,,"Amitabh Bachchan, Shashi Kapoor, Rishi Kapoor, Raakhee, Waheeda Rehman, Neetu Singh",,,1976,,8.0,,,
Maa,,"Dharmendra, Hema Malini",,,1976,,9.0,,,
Do Anjaane,,"Amitabh Bachchan, Rekha",,,1976,,10.0,,,
Amar Akbar Anthony,,"Amitabh Bachchan, Rishi Kapoor, Vinod Khanna, Parveen Babi, Neetu Singh, Shabana Azmi, Pran, Nirupa Roy, Jeevan, Ranjeet, Yusuf Khan",,,1977,,,1.0,,
Dharam Veer,,"Dharmendra, Zeenat Aman, Jeetendra, Neetu Singh, Pran, Ranjeet, Jeevan",,,1977,,,2.0,,
Hum Kisise Kum Naheen,,"Rishi Kapoor, Kajal Kiran, Tariq Khan, Amjad Khan, Zeenat Aman",,,1977,,,3.0,,
Parvarish,,"Amitabh Bachchan, Vinod Khanna, Neetu Singh, Shabana Azmi, Shammi Kapoor, Amjad Khan, Kader Khan, Tom Alter",,,1977,,,4.0,,
Chacha Bhatija,,"Dharmendra, Randhir Kapoor, Hema Malini, Yogeeta Bali",,,1977,,,5.0,,
Khoon Pasina,,"Amitabh Bachchan, Vinod Khanna, Rekha",,,1977,,,6.0,,
Apnapan,,"Sanjeev Kumar, Jeetendra, Reena Roy, Sulakshana Pandit",,,1977,,,7.0,,
Adalat,,"Amitabh Bachchan, Waheeda Rehman, Neetu Singh",,,1977,,,8.0,,
Inkaar,,"Vinod Khanna, Vidya Sinha, Amjad Khan",,,1977,,,9.0,,
Dulhan Wahi Jo Piya Man Bhaye,,"Prem Krishen, Talluri Rameshwari",,,1977,,,10.0,,
Muqaddar Ka Sikandar,,"Amitabh Bachchan, Vinod Khanna, Raakhee Gulzar, Rekha, Amjad Khan, Ranjeet",,,1978,,,,1.0,
Trishul,,"Amitabh Bachchan, Shashi Kapoor, Sanjeev Kumar, Hema Malini, Raakhee Gulzar, Sachin, Poonam Dhillon",,,1978,,,,2.0,
Don,,"Amitabh Bachchan, Zeenat Aman, Pran, Mac Mohan",,,1978,,,,3.0,
Azaad,,"Dharmendra, Hema Malini",,,1978,,,,4.0,
Main Tulsi Tere Aangan Ki,,"Nutan, Vinod Khanna, Asha Parekh",,,1978,,,,5.0,
Swarg Narak,,"Sanjeev Kumar, Jeetendra, Vinod Mehra, Shabana Azmi, Tanuja, Moushumi Chatterjee",,,1978,,,,6.0,
Kasme Vaade,,"Amitabh Bachchan, Raakhee Gulzar, Randhir Kapoor, Neetu Singh, Amjad Khan",,,1978,,,,7.0,
Ganga Ki Saugandh,,"Amitabh Bachchan, Rekha",,,1978,,,,8.0,
Vishwanath,,"Shatrughan Sinha, Reena Roy",,,1978,,,,9.0,
Ankhiyon Ke Jharokhon Se,,"Ranjeeta Kaur, Sachin Pilgaonkar",,,1978,,,,10.0,
Suhaag,,"Amitabh Bachchan, Shashi Kapoor, Rekha, Parveen Babi, Nirupa Roy, Amjad Khan, Kader Khan, Ranjeet, Jeevan",,,1979,,,,,1.0
Jaani Dushman,,"Sunil Dutt, Sanjeev Kumar, Shatrughan Sinha, Jeetendra, Reena Roy, Rekha, Neetu Singh, Vinod Mehra, Bindiya Goswami, Prem Nath",,,1979,,,,,2.0
Sargam,,"Rishi Kapoor, Jaya Prada, Shakti Kapoor",,,1979,,,,,3.0
Mr. Natwarlal,,"Amitabh Bachchan, Rekha, Ajit Khan, Amjad Khan, Kader Khan",,,1979,,,,,4.0
Kaala Patthar,,"Amitabh Bachchan, Shashi Kapoor, Shatrughan Sinha, Raakhee, Parveen Babi, Neetu Singh, Mac Mohan",,,1979,,,,,5.0
Gol Maal,,"Amol Palekar, Utpal Dutt, Bindiya Goswami",,,1979,,,,,6.0
Noorie,,"Farooq Sheikh, Poonam Dhillon",,,1979,,,,,7.0
Kartavya,,"Dharmendra, Rekha",,,1979,,,,,8.0
Surakshaa,,"Mithun Chakraborty, Ranjeeta Kaur",,,1979,,,,,9.0
Khandaan,,"Jeetendra, Sulakshana Pandit, Bindiya Goswami",,,1979,,,,,10.0
The Great Gambler,,"Amitabh Bachchan, Zeenat Aman, Neetu Singh",,,1979,,,,,11.0
