Title,Director,Cast,Genre,Music director,Year,Sources,Opening,Opening.1
Kucch To Hai,,"Tusshar Kapoor, Esha Deol, Natassha, Yash Tonk, Rishi Kapoor, Jeetendra, Moonmoon Sen, Johnny Lever",Thriller,,2003,,,
Kuch Naa Kaho,,"Abhishek Bachchan, Aishwarya Rai, Arbaaz Khan","Drama, Romance, Musical",,2003,,,
Kyon?,,,,,2003,,,
Larger Than Life,,,,,2003,,,
LOC: Kargil,J. P. Dutta,"Suniel Shetty, Sanjay Dutt, Ajay Devgn, Saif Ali Khan, Kareena Kapoor, Rani Mukerji, Abhishek Bachchan, Akshaye Khanna, Sanjay Kapoor, Manoj Bajpai, Isha Koppikar, Mahima Chaudhry, Karan Nath, Esha Deol, Raveena Tandon","War, Drama, Historical",,2003,,,
Love at Times Square,,Sonu Nigam,,,2003,,,
Maa Santoshi Maa,,,,,2003,,,
Main Madhuri Dixit Banna Chahti Hoon,,"Antara Mali, Rajpal Yadav",Comedy,,2003,,,
Main Prem Ki Diwani Hoon,Sooraj R. Barjatya,"Hrithik Roshan, Kareena Kapoor, Abhishek Bachchan","Romance, Drama, Comedy",,2003,,,
Market,,Manisha Koirala,,,2003,,,
Matrubhoomi,,Tulip Joshi,Drama,,2003,,,
Miss India: The Mystery,,,,,2003,,,
Mudda: The Issue,,,,,2003,,,
Mumbai Matinee,Anant Balani,"Rahul Bose, Parijat Zorabian, Anusha Dhandekar",,,2003,,,
Mumbai Se Aaya Mera Dost,Apoorva Agnihotri,"Abhishek Bachchan, Lara Dutta",Drama,,2003,,,
Munna Bhai M.B.B.S.,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Jimmy Sheirgill, Boman Irani, Sunil Dutt","Comedy, Social, Musical",,2003,,,
Naag Lok,,,,,2003,,,
Nayee Padosan,,,,,2003,,,
October,,,,,2003,,,
Om,,,,,2003,,,
Oops!,Dipak Tijori,,,,2003,,,
Out of Control,,"Ritesh Deshmukh, Hrishita Bhatt, Brande Roderick, Amrish Puri","Comedy, Romance",,2003,,,
Paanch,,,,,2003,,,
Parwana,,"Ajay Devgn, Amisha Patel, Pooja Batra","Action, Drama, Thriller",,2003,,,
Patth,,"Milind Gunaji, Sharad Kapoor, Nirmal Pandey, Payal Rohatgi, Hyder Kazmi",,,2003,,,
Pehli Nazar Ka Pehla Pyaar: Love at First Sight,,,,,2003,,,
Pinjar,Chandrakant Dwivedi,"Urmila Matondkar, Manoj Bajpai, Sanjay Suri, Priyanshu Chatterjee, Isha Koppikar","Drama, Social",,2003,,,
The Pink Mirror,,,,,2003,,,
Praan Jaye Par Shaan Na Jaye,Sanjay Manjerekar,"Aman Verma, Rinke Khanna, Raveena Tandon, Namrata Shirodkar, Dia Mirza",Comedy,,2003,,,
Qayamat: City Under Threat,Harry Baweja,"Ajay Devgn, Sunil Shetty, Sanjay Kapoor, Neha Dhupia, Arbaaz Khan, Isha Koppikar, Riya Sen, Aashish Chaudhary, Chunky Pandey",Thriller,,2003,,,
Raghu More: Bachelor of Hearts,,,,,2003,,,
Raghu Romeo,Rajat Kapoor,,,,2003,,,
Raja Bhaiya,,"Govinda, Arti Chhabriya",,,2003,,,
Rasikan Re,,,,,2003,,,
"Right Here, Right Now",,,,,2003,,,
Rules: Pyaar Ka Superhit Formula,Parvati Balagopalan,Milind Soman,,,2003,,,
Saaya,,"John Abraham, Tara Sharma, Mahima Chaudhry",Drama,,2003,,,
Sala Bandar!,,,,,2003,,,
Samay: When Time Strikes,,"Sushmita Sen, Jackie Shroff, Sushant Singh",Thriller,,2003,,,
Sanatta: The Silence,,,,,2003,,,
Sandhya,,,,,2003,,,
Satta,Madhur Bhandarkar,Raveena Tandon,"Drama, Social",,2003,,,
Satyaghath: Crime Never Pays,Priyadarshan,"Mohanlal, Mahesh Anand, Cochin Haneefa",,,2003,,,
Shanti,,,,,2003,,,
Sssshhh...,,,,,2003,,,
Stumped,,,,,2003,,,
Supari,,"Uday Chopra, Namrata Shirodkar",,,2003,,,
Surya,,,,,2003,,,
Tada,Sishir Mishra,,,,2003,,,
Taj Mahal: A Monument of Love,Sanjay Khan,,,,2003,,,
Talaash: The Hunt Begins...,Suneel Darshan,"Akshay Kumar, Kareena Kapoor",Thriller,,2003,,,
Tareekh,,,,,2003,,,
Tehzeeb,Khalid Mohammad,"Urmila Matondkar, Shabana Azmi, Arjun Rampal, Rishi Kapoor, Diya Mirza, Namrata Shirodkar",,,2003,,,
Tere Naam,Satish Kaushik,"Salman Khan, Bhoomika Chawla","Drama, Romance",,2003,,,
Tu Bal Bramhachari Main Hoon Kanya Kunwari,,,,,2003,,,
Tujhe Meri Kasam,,"Riteish Deshmukh, Genelia D'Souza",Romance,,2003,,,
Tumse Milke Wrong Number,,Tinnu Anand,,,2003,,,
Valentine Days,,,,,2003,,,
Waisa Bhi Hota Hai Part II,,"Arshad Warsi, Sandhya Mridul, Prashant Narayanan",,,2003,,,
Xcuse Me,N. Chandra,"Sahil Khan, Sharman Joshi, Payal Rohatgi",Comedy,,2003,,,
Yeh Dil,,"Tusshar Kapoor, Natassha",,,2003,,,
Zameen,Rohit Shetty,"Ajay Devgn, Abhishek Bachchan, Bipasha Basu",Thriller,,2003,,,
Aabra Ka Daabra,Dheeraj Kumar,"Hansika Motwani, Shweta Tiwari, Vishal Lalwani, Archana Puran Singh",Fantasy,,2004,,,
Aan: Men at Work,Madhur Bhandarkar,"Akshay Kumar, Sunil Shetty, Shatrughan Sinha, Lara Dutta, Raveena Tandon",Action,,2004,,,
Ab... Bas!,Rajesh Kumar Singh,"Shawar Ali, Rohit Roy, Diana Hayden",Adult,,2004,,,
Ab Tumhare Hawale Watan Saathiyo,Anil Sharma,"Amitabh Bachchan, Akshay Kumar, Bobby Deol, Divya Khosla Kumar","War, Drama",,2004,,,
Aetbaar,Vikram Bhatt,"Amitabh Bachchan, Bipasha Basu, John Abraham",Thriller,,2004,,,
Agnipankh,Sanjeev Puri,"Jimmy Shergill, Rahul Dev, Divya Dutta, Shamita Shetty",,,2004,,,
Aitraaz,Abbas-Mustan,"Akshay Kumar, Kareena Kapoor, Priyanka Chopra","Drama, Romance, Thriller",,2004,,,
Asambhav,Rajiv Rai,"Arjun Rampal, Priyanka Chopra","Mystery, Thriller",,2004,,,
Banana Brothers,Girija Shanker,"Johny Lever, Anupam Kher, Gulshan Grover, Gursewak Mann, Seema Rahmani",Comedy,,2004,,,
Bardaasht,E.Nivas,"Bobby Deol, Lara Dutta, Ritesh Deshmukh, Rahul Dev","Action, Drama, Thriller",,2004,,,
Chameli,Sudhir Mishra,"Kareena Kapoor, Rahul Bose, Rinke Khanna",Drama,,2004,,,
Chand Bujh Gaya,Sharique Minhaj,"Faizal Khan, Shama Sikander, Aliza",Romance,,2004,,,
Charas,Tigmanshu Dhulia,"Jimmy Shergill, Irrfan Khan, Uday Chopra, Hrishita Bhatt, Namrata Shirodkar",Action,,2004,,,
Deewaar,Milan Luthria,"Amitabh Bachchan, Sanjay Dutt, Akshaye Khanna, Kay Kay Menon, Amrita Rao",Drama,,2004,,,
Dev,Govind Nihalani,"Amitabh Bachchan, Fardeen Khan, Kareena Kapoor, Rati Agnihotri, Om Puri, Amrish Puri",Drama,,2004,,,
Dhoom,Sanjay Gadhvi,"Abhishek Bachchan, John Abraham, Uday Chopra, Esha Deol, Rimi Sen","Thriller, Action",,2004,,,
Dil Bechara Pyaar Ka Maara,Omkarnath Mishra,"Vikas Kalantri, Aslam Khan, Divya Palat, Rajpal Yadav, Mallika Kapoor",Comedy,,2004,,,
Dil Maange More,Anant Mahadevan,"Shahid Kapoor, Ayesha Takia, Soha Ali Khan, Tulip Joshi","Romance, Comedy",,2004,,,
Dil Ne Jise Apna Kahaa,Atul Agnihotri,"Salman Khan, Preity Zinta, Bhumika Chawla","Drama, Romance",,2004,,,
Dobara,Shashi Ranjan,"Raveena Tandon, Jackie Shroff, Mahima Chaudhry",Drama,,2004,,,
Dukaan,Iqbal Durrani,"Vikas Kalantri, Rambha, Rati Agnihotri",Adult Romance,,2004,,,
Ek Se Badhkar Ek,Kundan Shah,"Suniel Shetty, Raveena Tandon, Isha Koppikar",Comedy,,2004,,,
Ek Hasina Thi,Sriram Raghavan,"Saif Ali Khan, Urmila Matondkar, Seema Biswas","Thriller, Drama",,2004,,,
Fida,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma","Drama, Romance, Thriller",,2004,,,
Garv,Puneet Issar,"Salman Khan, Shilpa Shetty, Arbaaz Khan",Drama,,2004,,,
Gayab,Prawal Raman,"Tusshar Kapoor, Antara Mali, Raghubir Yadav","Fantasy, Thriller",,2004,,,
Girlfriend,Karan Razdan,"Amrita Arora, Isha Koppikar, Aashish Chaudhary","Drama, Romance",,2004,,,
Hatya,,,,,2004,,,
Hava Aney Dey,Partho Sen-Gupta,"Nishikant Kamat, Tannishtha Chatterjee, Rajshree Thakur",Drama,,2004,,,
Hawas,Karan Razdan,"Shawar Ali, Meghna Naidu, Tarun Arora",Erotic Romance,,2004,,,
Hulchul,Priyadarshan,"Akshaye Khanna, Kareena Kapoor, Jackie Shroff, Arbaaz Khan, Sunil Shetty, Arshad Warsi, Paresh Rawal, Amrish Puri","Comedy, Drama, Romance, Family",,2004,,,
Hum Tum,Kunal Kohli,"Saif Ali Khan, Rani Mukherji, Kirron Kher, Rishi Kapoor, Rati Agnihotri, Jimmy Sheirgill, Isha Koppikar","Comedy, Romance, Drama, Musical",,2004,,,
Hyderabad Blues 2,Nagesh Kukunoor,"Tisca Chopra, Elahe Hiptoola, Jyoti Dogra, Vikram Inamdar, Anu Chengappa",Drama,,2004,,,
I Proud to Be an Indian,Puneet Issar,"Sohail Khan, Gulzar Inder Chahal, Puneet Issar, Tim Lawrence",Action,,2004,,,
Insaaf: The Justice,Shrey Srivastava,"Dino Morea, Namrata Shirodkar, Sanjay Suri, Henna, Rajpal Yadav",Action,,2004,,,
Inteqam: The Perfect Game,Pankaj Parashar,"Nethra Raghuraman, Manoj Bajpai, Isha Koppikar",Action,,2004,,,
Ishq Hai Tumse,G. Krishna,"Bipasha Basu, Dino Morea",Drama,,2004,,,
Julie,Deepak Shivdasani,"Neha Dhupia, Yash Tonk, Sanjay Kapoor, Priyanshu Chatterjee",Adult Drama,,2004,,,
Kaun Hai Jo Sapno Mein Aaya,Rajesh Bhatt,"Anupam Kher, Richa Pallod, Rakesh Bapat, Kader Khan, Rajesh Bhatt",Romance,,2004,,,
Kaya Taran,Sashi Kumar,"Seema Biswas, Angad Bedi, Neelambari Bhattacharya, Neeta Mohindra",Drama,,2004,,,
Khakee,Rajkumar Santoshi,"Amitabh Bachchan, Akshay Kumar, Ajay Devgn, Aishwarya Rai, Tusshar Kapoor, Atul Kulkarni","Action, Thriller",,2004,,,
Khamosh Pani,Sabiha Kumar,"Kirron Kher, Amar Ali Malik",Drama,,2004,,,
King of Bollywood,Piyush Jha,"Om Puri, Sophie Dahl, Kavita Kapoor",Comedy,,2004,,,
Kis Kis Ki Kismat,Govind Menon,"Dharmendra, Mallika Sherawat, Rati Agnihotri, Satish Shah",Comedy,,2004,,,
Kismat,Guddu Dhanoa,"Priyanka Chopra, Bobby Deol",Thriller,,2004,,,
Kiss Kis Ko,Sharad Sharan,"Karan Oberoi, Sudhanshu Pandey, Sherrin Varghese, Siddharth Haldipur, Chaitnya Bhosale",Adult Comedy,,2004,,,
Krishna Cottage,Santram Varma,"Sohail Khan, Isha Koppikar, Natassha",Thriller,,2004,,,
Kyun! Ho Gaya Na...,Samir Karnik,"Vivek Oberoi, Aishwarya Rai, Amitabh Bachchan, Sunil Shetty, Diya Mirza, Rati Agnihotri","Romance, Drama, Comedy",,2004,,,
Lakeer – Forbidden Lines,Ahmed Khan,"Sunil Shetty, Sunny Deol, Sohail Khan, John Abraham, Nauheed Cyrusi","Action, Drama, Romance",,2004,,,
Lakshya,Farhan Akhtar,"Hrithik Roshan, Preity Zinta, Sharad Kapoor, Amitabh Bachchan","War, Drama, Action, Romance",,2004,,,
Let's Enjoy,"Ankur Tewari, Siddharth Anand Kumar","Shomendra Bose, Aashish Chaudhary, Roshni Chopra, Arzoo Govitrikar, Shiv Panditt, Sahil Gupta]], Dhruv Jagasiya",Adult Thriller,,2004,,,
Madhoshi,Tanveer Khan,"Bipasha Basu, John Abraham, Priyanshu Chatterjee","Drama, Romance, Thriller",,2004,,,
Main Hoon Na,Farah Khan,"Shahrukh Khan, Sushmita Sen, Sunil Shetty, Amrita Rao, Zayed Khan, Kiron Kher, Naseeruddin Shah, Kabir Bedi, Satish Shah, Boman Irani, Bindu, Murli Sharma,","Action, Musical, Drama, Comedy",,2004,,,
Maqbool,Vishal Bhardwaj,"Tabu, Pankaj Kapoor, Irrfan Khan, Moushumi Chatterjee, Om Puri","Mystery, Drama",,2004,,,
Masti,Indra Kumar,"Vivek Oberoi, Aftab Shivdasani, Lara Dutta, Riteish Deshmukh, Ajay Devgn, Genelia D'souza, Tara Sharma, Amrita Rao, Rakhi Sawant",Comedy,,2004,,,
Meenaxi: A Tale of Three Cities,M. F. Hussain,"Tabu, Kunal Kapoor, Rajpal Yadav, Nadira Babbar","Romance, Musical Drama",,2004,,,
Meri Biwi Ka Jawaab Nahin,"S. M. Iqbal, Pankaj Parashar","Sridevi, Akshay Kumar","Action, Comedy, Romance",,2004,,,
Mughal-e-Azam (Colorized Version),K. Asif,"Dilip Kumar, Madhubala, Prithviraj Kapoor",Drama,,2004,,,
Mujhse Shaadi Karogi,David Dhawan,"Salman Khan, Priyanka Chopra, Akshay Kumar","Comedy, Romance, Musical",,2004,,,
Murder,Anurag Basu,"Emraan Hashmi, Ashmit Patel, Mallika Sherawat","Thriller, Romance",,2004,,,
Musafir,Sanjay Gupta,"Anil Kapoor, Sanjay Dutt, Sameera Reddy, Koena Mitra, Mahesh Manjrekar",Thriller,,2004,,,
Muskaan,"Rohit Nayyar, Rohit Manash","Aftab Shivdasani, Gracy Singh, Kader Khan, Anupam Kher","Romance, Drama",,2004,,,
Naach,Ram Gopal Varma,"Antara Mali, Abhishek Bachchan, Ritesh Deshmukh",Drama,,2004,,,
Netaji Subhas Chandra Bose: The Forgotten Hero,,"Sachin Khedekar, Kulbhushan Kharbanda, Rajit Kapur, Arif Zakaria, Divya Dutta",,,2004,,,
Nothing but Life,Rajiv Anchal,"R. Madhavan, Kaveri, Sreenivasan",Drama,,2004,,,
Paap,Pooja Bhatt,"John Abraham, Udita Goswami",Drama,,2004,,,
Paisa Vasool,Srinivas Bhashyam,"Manisha Koirala, Sushmita Sen, Sushant Singh, Tinu Anand, Makrand Deshpande",Black Comedy,,2004,,,
Phir Milenge,Revathy,"Shilpa Shetty, Salman Khan, Abhishek Bachchan","Drama, Social",,2004,,,
Plan,Hriday Shetty,"Sanjay Dutt, Priyanka Chopra, Dino Morea, Sanjay Suri, Riya Sen, Rohit Roy, Sameera Reddy",Action,,2004,,,
Police Force: An Inside Story,Dilip Shukla,"Akshay Kumar, Raveena Tandon",Action,,2004,,,
Popcorn Khao! Mast Ho Jao,Kabir Sadanand,"Akshay Kapoor, Tanisha, Yash Tonk, Reshmi Nigam",,,2004,,,
Raincoat,Rituparno Ghosh,"Ajay Devgn, Aishwarya Rai",Drama,,2004,,,
Rakht,Mahesh Manjrekar,"Sunil Shetty, Neha Dhupia, Dino Morea, Himanshu Malik, Amrita Arora, Bipasha Basu, Sanjay Dutt",Horror,,2004,,,
Rok Sako To Rok Lo,Arindam Chowdhury,"Sunny Deol, Yash Pandit",Sports Comedy,,2004,,,
Rudraksh,Mani Shankar,"Suniel Shetty, Sanjay Dutt, Bipasha Basu, Isha Koppikar",Thriller,,2004,,,
Run,Jeeva,"Abhishek Bachchan, Bhoomika Chawla, Ayesha Jhulka, Mahesh Manjrekar","Action, Drama, Romance",,2004,,,
Shaadi Ka Laddoo,Raj Kaushal,"Sanjay Suri, Mandira Bedi, Divya Dutta, Aashish Chaudhary",Comedy,,2004,,,
Shart: The Challenge,Puri Jagannadh,"Tusshar Kapoor, Gracy Singh, Amrita Arora","Action, Drama",,2004,,,
Sheen,Ashok Pandit,"Tarun Arora, Raj Babbar, Anoop Soni, Kiran Juneja",Romance,,2004,,,
Shikhaar,Darshan Bagga,"Kanishka Sodhi, Jas Pandher",Drama,,2004,,,
Shukriya: Till Death Do Us Apart,Anupam Sinha,"Anupam Kher, Aftab Shivdasani, Shriya Saran",Drama,,2004,,,
Silence Please...The Dressing Room,Sanjay Srinivas,"Salil Ankola, Sonali Kulkarni, Tom Alter",Thriller,,2004,,,
Stop!,Ajai Sinha,"Rocky Bhatia, Dia Mirza, Gauri Karnik, Ishita Sharma","Romance, Drama",,2004,,,
Suno Sasurjee,Vimal Kumar,"Aftab, Ameesha Patel","Romantic, Comedy",,2004,,,
Swades,Ashutosh Gowarikar,"Shahrukh Khan, Gayatri Joshi, Kishori Ballal","Drama, Social",,2004,,,
Taarzan: The Wonder Car,Abbas Mustan,"Vatsal Seth, Ayesha Takia, Ajay Devgn",Fantasy Thriller,,2004,,,
Thoda Tum Badlo Thoda Hum,Esmayeel Shroff,"Arya Babbar, Shriya Saran, Ashok Saraf",Romance,,2004,,,
Tumsa Nahin Dekha: A Love Story,Anurag Basu,"Emraan Hashmi, Diya Mirza",Romance,,2004,,,
Uff Kya Jaadoo Mohabbat Hai,Manoj J. Bhatia,"Sammir Dattani, Pooja Kanwal, Sandhya Mridul, Akshay Anand",Romance,,2004,,,
Vaastu Shastra,Saurab Narang,"J. D. Chakravarthy, Ahsaas Channa, Vicky Ahuja, Sushmita Sen",Horror,,2004,,,
Veer-Zaara,Yash Chopra,"Shah Rukh Khan, Preity Zinta, Rani Mukherji, Manoj Bajpai, Amitabh Bachchan, Hema Malini, Kirron Kher, Boman Irani, Divya Dutta, Anupam Kher","Drama, Romance, Family, Musical",,2004,,,
Wajahh: A Reason to Kill,Gautama Adhikari,"Arbaaz Khan, Shamita Shetty, Gracy Singh",Thriller,,2004,,,
Where's the Party Yaar?,Benny Mathews,"Diwakar Pathak, Sunil Malhotra",Comedy,,2004,,,
Woh,Raj N. Sippy,"Priyanshu Chatterjee, Cleo Issacs, Shahbaz Khan",Thriller,,2004,,,
Yeh Lamhe Judaai Ke,Birendra Nath Tiwary,"Shahrukh Khan, Raveena Tandon",Drama,,2004,,,
Yehi Hai Zindagi,Ajay Phansekar,"Gracy Singh, Sahil Khan, Parvin Dabbas",Drama,,2004,,,
Yuva,Mani Ratnam,"Ajay Devgn, Abhishek Bachchan, Vivek Oberoi, Kareena Kapoor, Rani Mukherji, Esha Deol, Om Puri","Drama, Action",,2004,,,
7½ Phere,Ishaan Trvedi,"Juhi Chawla, Irrfan Khan",Comedy,,2005,,,
"99.9 FM,",Sanjay Bhatia,"Shawar Ali, Raima Sen, Dipannita Sharma",Crime / Thriller,,2005,,,
Aashiq Banaya Aapne,Aditya Datt,"Emraan Hashmi, Tanushree Dutta, Sonu Sood","Romance, Drama / Thriller",,2005,,,
Amavas,,,,,2005,,,
Anjaane,Harry W. Fernandes,"Manisha Koirala, Sanjay Kapoor",Thriller,,2005,,,
Apaharan,Prakash Jha,"Ajay Devgn, Bipasha Basu, Nana Patekar","Drama, Action",,2005,,,
Bachke Rehna Re Baba,Govind Menon,"Rekha, Mallika Sherawat, Paresh Rawal, Karan Khanna, Satish Shah",Comedy,,2005,,,
Barsaat,Suneel Darshan,"Bobby Deol, Bipasha Basu, Priyanka Chopra","Romance, Drama, Family",,2005,,,
Bewafaa,Dharmesh Darshan,"Akshay Kumar, Sushmita Sen, Kareena Kapoor, Shamita Shetty, Anil Kapoor, Manoj Bajpai","Drama, Romance",,2005,,,
Bhagmati,Ashok Kaul,"Milind Soman, Mahima Chaudhry, Tabu, Ashok Kaul",Romance,,2005,,,
Bhola in Bollywood,Sumbul Gazi,"Ali Asgar, Siraj Khan, Avtar Gill, Raj Babbar",Comedy,,2005,,,
Black,Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukherji, Ayesha Kapur, Shernaz Patel, Nandana Sen, Dhritiman Chaterji","Drama, Social",,2005,,,
Blackmail,Anil Devgan,"Suniel Shetty, Ajay Devgn, Priyanka Chopra, Dia Mirza","Thriller, Drama",,2005,,,
Bluffmaster!,Rohan Sippy,"Abhishek Bachchan, Priyanka Chopra, Nana Patekar, Riteish Deshmukh, Boman Irani",Comedy,,2005,,,
Brides Wanted,,"Anuj Sawhney, Sarah-Jane Dias, Waheeda Rehman, Girish Karnad",Comedy,,2005,,,
Bullet: Ek Dhamaka,Irfan Khan,"Iqbal Khan, Asseem Merchant, Asad Sikandar, Saadhika",Action,,2005,,,
Bunty Aur Babli,Shaad Ali,"Amitabh Bachchan, Abhishek Bachchan, Rani Mukherji, Raj Babbar","Comedy, Crime, Romance, Musical",,2005,,,
Chaahat – Ek Nasha,Jai Prakash,"Manisha Koirala, Aryan Vaid, Preeti Jhangiani",Romance,,2005,,,
Chand Sa Roshan Chehra,Shabah Shamsi,"Samir Aftab, Tamanna Bhatia",Romance,,2005,,,
Chausar,Sagar Sarhadi,,,,2005,,,
Chehraa,Saurabh Shukla,"Bipasha Basu, Dino Morea, Preeti Jhangiani, Irrfan Khan",Thriller,,2005,,,
Chetna: The Excitement,,"Jatin Grewal, Payal Rohatgi, Navneet Kaur",Erotic Drama,,2005,,,
Chocolate,Vivek Agnihotri,"Sunil Shetty, Anil Kapoor, Tanushree Dutta, Arshad Warsi, Emraan Hashmi, Irrfan Khan, Sushama Reddy","Action, Thriller, Suspense",,2005,,,
Chor Mandi,,"Mukul Dev, Razzak Khan, Shweta Keswani",Comedy,,2005,,,
Classic – Dance of Love,Babbar Subhash,"Mithun Chakraborty, Meghna Naidu, Vikas Bhardwaj",Erotic Thriller,,2005,,,
D,Ram Gopal Varma,"Randeep Hooda, Chunky Pandey, Isha Koppikar","Crime, Drama",,2005,,,
Dansh,,"Kay Kay Menon, Sonali Kulkarni",Drama,,2005,,,
Deewane Huye Paagal,Vikram Bhatt,"Akshay Kumar, Sunil Shetty, Shahid Kapoor, Rimi Sen",Romantic Comedy,,2005,,,
Dil Jo Bhi Kahey...,Romesh Sharma,"Amitabh Bachchan, Bhumika Chawla, Karan Sharma, Revathi",Family drama,,2005,,,
Dosti: Friends Forever,,"Akshay Kumar, Bobby Deol, Lara Dutta, Kareena Kapoor, Juhi Chawla","Drama, Romance",,2005,,,
Double Cross - Ek Dhoka,,"Sahil Khan, Negar Khan, Ayesha Jhulka",,,2005,,,
Dreams,,"Aashish Chanana, Neha Pendse, Arzoo Govitrikar, Manoj Bidwani",,,2005,,,
Dus,Nitin Manmohan,"Suniel Shetty, Sanjay Dutt, Shilpa Shetty, Esha Deol, Zayed Khan, Abhishek Bachchan, Dia Mirza, Raima Sen, Gulshan Grover","Action, Thriller",,2005,,,
Ek Ajnabee,Apoorva Lakhia,"Amitabh Bachchan, Arjun Rampal, Perizaad Zorabian",Thriller,,2005,,,
Ek Khiladi Ek Haseena,,"Fardeen Khan, Koena Mitra, Kay Kay Menon",Thriller,,2005,,,
Elaan,,"Arjun Rampal, Ameesha Patel, Mithun Chakraborty, John Abraham, Lara Dutta","Action, Drama",,2005,,,
Fareb,Deepak Tijori,"Shilpa Shetty, Manoj Bajpai, Shamita Shetty",Thriller,,2005,,,
Film Star,Tanuja Chandra,"Mahima Chaudhry, Priyanshu Chatterjee, Vasundhara Das Anup Shukla",,,2005,,,
Fun – Can Be Dangerous Sometimes,,"Aryan Vaid, Hina Rehman, Siddharth Koirala, Payal Rohatgi",Erotic Drama,,2005,,,
Garam Masala,Priyadarshan,"Akshay Kumar, John Abraham, Rimi Sen, Neha Dhupia",Comedy,,2005,,,
Hanuman,,,,,2005,,,
Hazaaron Khwaishein Aisi,Sudhir Mishra,"Shiney Ahuja, Chitrangada Singh, Kay Kay Menon",Drama,,2005,,,
Home Delivery,Sujoy Ghosh,"Vivek Oberoi, Mahima Chaudhry, Ayesha Takia",Comedy,,2005,,,
Hum Dum,Kushan Nandy,"Anjana Sukhani, Romit Raaj",Romance,,2005,,,
Insan,K. Subash,"Akshay Kumar, Ajay Devgn, Lara Dutta, Esha Deol, Tusshar Kapoor, Koena Mitra, Rahul Dev","Action, Thriller",,2005,,,
Iqbal,Nagesh Kukunur,"Shreyas Talpade, Naseeruddin Shah","Sports, Drama, Social",,2005,,,
Jackpot,,"Meghna Naidu, Himanshu Malik","Erotic, Crime",,2005,,,
Jai Chiranjeeva,K. Vijaya Bhaskar,"Arbaaz Khan, Sameera Reddy, Bhumika Chawla, Rahul Dev, Shriya Sharma",Drama,,2005,,,
Jalwa - Fun in Love,,"Kiran Janjani, Monalisa, Viraaj, Neha Bhatt",Erotic romance,,2005,,,
James,,"Mohit Ahlawat, Nisha Kothari",Action,,2005,,,
Jo Bole So Nihaal,,"Sunny Deol, Kamaal Khan, Shillpi Sharma","Action, Comedy",,2005,,,
Jurm,Vikram Bhatt,"Bobby Deol, Milind Soman, Lara Dutta",Thriller,,2005,,,
Kaal,Soham Shah,"Ajay Devgn, Vivek Oberoi, John Abraham, Lara Dutta, Esha Deol","Horror, Thriller",,2005,,,
Kalyug,,"Kunal Khemu, Amrita Singh, Emraan Hashmi",Drama,,2005,,,
Karam,,"John Abraham, Priyanka Chopra, Shiney Ahuja",Thriller,,2005,,,
Kasak,,"Lucky Ali, Meera",,,2005,,,
Khamoshh... Khauff Ki Raat,,"Shilpa Shetty, Juhi Chawla,",Thriller,,2005,,,
Kisna: The Warrior Poet,Subhash Ghai,"Vivek Oberoi, Isha Sharvani","Drama, Historical",,2005,,,
Koi Aap Sa,,"Aftab Shivdasani, Natassha, Himanshu Malik","Drama, Romance",,2005,,,
Koi Mere Dil Mein Hai,,"Priyanshu Chatterjee, Dia Mirza, Rakesh Bapat, Neha",,,2005,,,
Kuchh Meetha Ho Jaye,,"Arshad Warsi, Mahima Chaudhry, Shah Rukh Khan","Comedy, Drama, Romance",,2005,,,
Kyaa Kool Hai Hum,,"Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar, Neha Dhupia",Comedy,,2005,,,
Kyon Ki,Priyadarshan,"Salman Khan, Kareena Kapoor, Rimi Sen, Jackie Shroff, Om Puri, Sunil Shetty","Drama, Romance",,2005,,,
Lucky: No Time for Love,Radhika RaoVinay Sapru,"Salman Khan, Mithun Chakraborty, Sneha Ullal","Romance, Musical",,2005,,,
Main Aisa Hi Hoon,,"Ajay Devgn, Sushmita Sen, Esha Deol",Drama,,2005,,,
"Main, Meri Patni Aur Woh",,"Rajpal Yadav, Rituparna Sen",,,2005,,,
Maine Gandhi Ko Nahin Mara,Jahnu Barua,"Urmila Matondkar, Anupam Kher","Drama, Social",,2005,,,
Maine Pyaar Kyun Kiya?,,"Salman Khan, Sushmita Sen, Katrina Kaif, Sohail Khan, Arshad Warsi, Isha Koppikar",Comedy,,2005,,,
Mangal Pandey: The Rising,Ketan Mehta,"Aamir Khan, Rani Mukherji, Ameesha Patel, Toby Stephens","Drama, Historical",,2005,,,
Mashooka,Afzal Ahmed,"Aditya Bal, Meghna Naidu",Erotic thriller,,2005,,,
Mazaa Mazaa,,"Payal Rohatgi, Farid Amiri, Shivani Singh, Pankaj Beri",,,2005,,,
Men Not Allowed,Shrey Srivastav,"Payal Rohatgi, Tarun Arora",Romance,,2005,,,
Morning Raga,,"Shabana Azmi, Perizaad Zorabian",,,2005,,,
Mr Ya Miss,,"Antara Mali, Aftab Shivdasani, Riteish Deshmukh",Comedy,,2005,,,
Mr Prime Minister,Dev Anand,"Dev Anand, Prem Chopra, Milind Gunaji, A.K. Hangal",Drama,,2005,,,
