Opening,Opening.1,Title,Director,Cast,Genre,Year,Source,Studio,Production house,Genres,Rating,Combined
FEB,19.0,aakhari decision,Deepak Bandhu,"Anant Jog, Nagesh Bhonsle, Mushtaq Khan",Action,2010,,,,Action Drama Thriller,6.0,deepak bandhu anant jog nagesh bhonsle mushtaq khan action drama thriller
FEB,19.0,click,Sangeeth Sivan,"Shreyas Talpade, Sadha, Sneha Ullal",Horror,2010,,,,Drama Horror Mystery Thriller,3.5,sangeeth sivan shreyas talpade sadha sneha ullal drama horror mystery thriller
FEB,19.0,toh baat pakki!,Kedar Shinde,"Tabu, Sharman Joshi, Vatsal Sheth",Romantic Comedy,2010,,,,Comedy Drama,5.2,kedar shinde tabu sharman joshi vatsal sheth comedy drama
FEB,26.0,karthik calling karthik,Vijay Lalwani,"Farhan Akhtar, Deepika Padukone, Ram Kapoor, Shefali Shah",Thriller,2010,,,,Drama Mystery Thriller,7.0,vijay lalwani farhan akhtar deepika padukone ram kapoor shefali shah drama mystery thriller
FEB,26.0,teen patti,Leena Yadav,"Amitabh Bachchan, Ben Kingsley, R. Madhavan, Saira Mohan, Raima Sen, Mahesh Manjrekar, Shraddha Kapoor","Drama, Thriller",2010,,,,Crime Drama Thriller,4.1,leena yadav amitabh bachchan ben kingsley r. madhavan saira mohan raima sen mahesh manjrekar shraddha kapoor crime drama thriller
MAR,5.0,atithi tum kab jaoge?,Ashwani Dhir,"Ajay Devgn, Konkona Sen Sharma, Paresh Rawal, Satish Kaushik",Comedy,2010,,,,Comedy,6.4,ashwani dhir ajay devgn konkona sen sharma paresh rawal satish kaushik comedy
MAR,5.0,hello zindagi,Raja Unnithan,"Mrunmayee Lagoo, Milind Gunaji, Neena Gupta, Kanwaljeet Singh",Drama,2010,,,,Drama Family,6.4,raja unnithan mrunmayee lagoo milind gunaji neena gupta kanwaljeet singh drama family
MAR,5.0,"road, movie",Dev Benegal,"Abhay Deol, Satish Kaushik, Tannishtha Chatterjee, Mohammed Faisal Usmani",Drama,2010,,,,Drama,,dev benegal abhay deol satish kaushik tannishtha chatterjee mohammed faisal usmani drama
MAR,5.0,rokkk,Rajesh Ranshinge,"Udita Goswami, Shaad Randhawa, Nishigandha Wad, Tanushree Dutta",Thriller,2010,,,,Drama Horror Mystery Thriller,4.3,rajesh ranshinge udita goswami shaad randhawa nishigandha wad tanushree dutta drama horror mystery thriller
MAR,5.0,thanks maa,Irfan Kamal,"Alok Nath, Raghuveer Yadav, Barry John, Sanjay Mishra",Drama,2010,,,,Drama,,irfan kamal alok nath raghuveer yadav barry john sanjay mishra drama
MAR,12.0,do dilon ke khel mein,Akash Pandey,"Rajesh Khanna, Nausheen Ali Sardar, Sonika Gill, Satish Kaushik",Romantic comedy,2010,,,,Comedy Drama Romance,5.7,akash pandey rajesh khanna nausheen ali sardar sonika gill satish kaushik comedy drama romance
MAR,12.0,hide & seek,Shawn Arranha,"Purab Kohli, Arjan Bajwa, Mrinalini Sharma, Samir Kochhar",Thriller,2010,,,,Drama Horror Thriller,4.2,shawn arranha purab kohli arjan bajwa mrinalini sharma samir kochhar drama horror thriller
MAR,12.0,na ghar ke na ghaat ke,Rahul Aggarwal,"Rahul Aggarwal, Paresh Rawal, Narayani Shastri, Om Puri",Comedy,2010,,,,Comedy Drama,6.2,rahul aggarwal rahul aggarwal paresh rawal narayani shastri om puri comedy drama
MAR,12.0,right yaaa wrong,Neeraj Pathak,"Sunny Deol, Irrfan Khan, Isha Koppikar, Konkona Sen Sharma",Action,2010,,,,Crime Drama Thriller,6.4,neeraj pathak sunny deol irrfan khan isha koppikar konkona sen sharma crime drama thriller
MAR,12.0,trump card,Arshad Khan,"Vikrum Kumar, Urvashi Chowdhary, Mansi Dovhal, Sheetal Bedi","Action, Thriller",2010,,,,Action Drama Mystery Thriller,3.0,arshad khan vikrum kumar urvashi chowdhary mansi dovhal sheetal bedi action drama mystery thriller
MAR,19.0,idiot box,Sunanda Mitra,"Sushant Singh, Hrishita Bhatt, Jyoti Gauba, Milind Gunaji",Drama,2010,,,,Comedy Drama,4.6,sunanda mitra sushant singh hrishita bhatt jyoti gauba milind gunaji comedy drama
MAR,19.0,lahore,Sanjay Puran Singh Chauhan,"Aanaahad, Shraddha Das, Farooq Sheikh, Nafisa Ali",Sports/Social,2010,,,,Action Drama Sport,6.4,sanjay puran singh chauhan aanaahad shraddha das farooq sheikh nafisa ali action drama sport
MAR,19.0,love sex aur dhokha,Dibakar Banerjee,"Amit Sial, Anshuman Jha, Arya Banerjee, Atul Mongia, Neha Chauhan, Shruti",Found footage,2010,,,,Comedy Crime Drama Romance,7.1,dibakar banerjee amit sial anshuman jha arya banerjee atul mongia neha chauhan shruti comedy crime drama romance
MAR,19.0,shaapit,Vikram Bhatt,"Aditya Narayan, Shweta Agarwal, Rahul Dev, Shubh Joshi",horror,2010,,,,Adventure Horror Romance Thriller,5.4,vikram bhatt aditya narayan shweta agarwal rahul dev shubh joshi adventure horror romance thriller
MAR,26.0,hum tum aur ghost,Kabeer Kaushik,"Dia Mirza, Sandhya Mridul, Boman Irani",Comedy,2010,,,,Comedy Drama Fantasy Romance,4.7,kabeer kaushik dia mirza sandhya mridul boman irani comedy drama fantasy romance
MAR,26.0,it's a man's world,Saurabh Sengupta,"Mohsin Akhtar, Mouli Ganguly, Ranjeet Jha, Mikhil Chindaramani",Social,2010,,,,Social,,saurabh sengupta mohsin akhtar mouli ganguly ranjeet jha mikhil chindaramani social
MAR,26.0,mittal v/s mittal,Karan Razdan,"Rituparna Sengupta, Rohit Roy, Gulshan Grover, Suchitra Krishnamurthy",Romance,2010,,,,Drama,4.4,karan razdan rituparna sengupta rohit roy gulshan grover suchitra krishnamurthy drama
MAR,26.0,my friend ganesha 3,Rajiv S. Ruia,"Rahul Pendkalkar, Baba Sehgal, Eva Grover, Sayaji Shinde",Animation,2010,,,,Animation Action Comedy Drama Family Fantasy,4.4,rajiv s. ruia rahul pendkalkar baba sehgal eva grover sayaji shinde animation action comedy drama family fantasy
MAR,26.0,prem kaa game,Ashok Kheny,"Arbaaz Khan, Tara Sharma, Madhuri Bhattacharya, Johnny Lever",Comedy,2010,,,,Comedy Drama,3.4,ashok kheny arbaaz khan tara sharma madhuri bhattacharya johnny lever comedy drama
MAR,26.0,well done abba,Shyam Benegal,"Boman Irani, Minissha Lamba, Sameer Dattani, Ravi Kissen",Social,2010,,,,Social,,shyam benegal boman irani minissha lamba sameer dattani ravi kissen social
APR,2.0,pankh,Sudipto Chattopadhyaya,"Bipasha Basu, Maradona Rebello, Mahesh Manjrekar, Ronit Roy Sanjeeda Sheikh",Social,2010,,,,Drama,3.9,sudipto chattopadhyaya bipasha basu maradona rebello mahesh manjrekar ronit roy sanjeeda sheikh drama
APR,2.0,sadiyaan,Raj Kanwar,"Luv Sinha, Ferena Wazeir, Rekha, Hema Malini, Rishi Kapoor",Romance,2010,,,,Drama Romance,4.6,raj kanwar luv sinha ferena wazeir rekha hema malini rishi kapoor drama romance
APR,2.0,tum milo toh sahi,Kabir Sadanand,"Nana Patekar, Dimple Kapadia, Rehan Khan, Sunil Shetty, Vidya Malvade, Anjana Sukhani, Mohnish Behl",Social/Drama,2010,,,,Comedy Drama,5.6,kabir sadanand nana patekar dimple kapadia rehan khan sunil shetty vidya malvade anjana sukhani mohnish behl comedy drama
APR,9.0,jaane kahan se aayi hai,Milap Zaveri,"Riteish Deshmukh, Jacqueline Fernandez",Comedy/Romance/Fantasy,2010,,,,Comedy Drama Fantasy Romance,3.8,milap zaveri riteish deshmukh jacqueline fernandez comedy drama fantasy romance
APR,9.0,prince,Kookie V. Gulati,"Vivek Oberoi, Aruna Shields, Nandana Sen, Neeru Bajwa, Sanjay Kapoor",Action/Thriller,2010,,,,Action Sci-Fi Thriller,4.2,kookie v. gulati vivek oberoi aruna shields nandana sen neeru bajwa sanjay kapoor action sci- fi thriller
APR,9.0,the japanese wife,Aparna Sen,"Rahul Bose, Raima Sen, Chigasu Takaku, Moushmi Chatterjee",Romance,2010,,,,Drama Romance,7.6,aparna sen rahul bose raima sen chigasu takaku moushmi chatterjee drama romance
APR,16.0,paathshaala,Milind Ukey,"Shahid Kapoor, Nana Patekar, Ayesha Takia, Swini Khara",Social,2010,,,,Drama Family,4.9,milind ukey shahid kapoor nana patekar ayesha takia swini khara drama family
APR,16.0,phoonk 2,Milind Gadagkar,"Sudeep, Neeru Bajwa, Amruta Khanvilkar, Ahsaas Channa",Horror,2010,,,,Drama Horror Mystery Thriller,3.1,milind gadagkar sudeep neeru bajwa amruta khanvilkar ahsaas channa drama horror mystery thriller
APR,23.0,apartment,Jagmohan Mundhra,"Rohit Roy, Tanushree Dutta, Neetu Chandra, Anupam Kher",Thriller,2010,,,,Drama Mystery Thriller,3.5,jagmohan mundhra rohit roy tanushree dutta neetu chandra anupam kher drama mystery thriller
APR,23.0,bird idol,Jyotin Goel, ,Animation,2010,,,,Animation,4.8,jyotin goel  animation
APR,23.0,city of gold,Mahesh Manjrekar,"Vineet Kumar, Sameer Dharmadhikari, Kashmira Shah, Satish Kaushik",Social,2010,,,,Crime Drama,6.9,mahesh manjrekar vineet kumar sameer dharmadhikari kashmira shah satish kaushik crime drama
APR,23.0,kuchh kariye,Jagbir Dahiya,"Sukhwinder Singh, Vikrum Kumar, Rufy Khan",,2010,,,,Adventure Drama Music,4.7,jagbir dahiya sukhwinder singh vikrum kumar rufy khan adventure drama music
APR,23.0,muskurake dekh zara,Som Shekar,"Gashmeer Mahajani, Twinkle Patel, Sunil Sabarwal, Simran Suri",Romantic Comedy,2010,,,,Comedy Horror Romance,4.7,som shekar gashmeer mahajani twinkle patel sunil sabarwal simran suri comedy horror romance
APR,30.0,chase,Jagmohan Mundhra,"Udita Goswami, Caterina Murino, Rajesh Khattar, Shweta Menon",Action,2010,,,,Action Crime Drama Thriller,7.0,jagmohan mundhra udita goswami caterina murino rajesh khattar shweta menon action crime drama thriller
APR,30.0,housefull,Sajid Khan,"Akshay Kumar, Arjun Rampal, Deepika Padukone, Riteish Deshmukh, Lara Dutta, Malaika Arora, Randhir Kapoor, Jiah Khan, Boman Irani, Chunky Pandey",Comedy,2010,,,,Comedy,5.4,sajid khan akshay kumar arjun rampal deepika padukone riteish deshmukh lara dutta malaika arora randhir kapoor jiah khan boman irani chunky pandey comedy
MAY,7.0,badmaash company,Parmeet Sethi,"Shahid Kapoor, Anushka Sharma, Meiyang Chang, Vir Das, Harry Mearing",Romance/Drama,2010,,,,Comedy Crime Drama,6.0,parmeet sethi shahid kapoor anushka sharma meiyang chang vir das harry mearing comedy crime drama
MAY,7.0,it's a wonderful afterlife,Gurinder Chadha,"Shabana Azmi, Shaheen Khan, Goldy Notay, Sally Hawkins",Drama,2010,,,,Comedy Drama Fantasy Romance,5.4,gurinder chadha shabana azmi shaheen khan goldy notay sally hawkins comedy drama fantasy romance
MAY,14.0,bumm bumm bole,Priyadarshan,"Darsheel Safary, Atul Kulkarni, Rituparna Sengupta, Ziyah Vastani",Children/Drama,2010,,,,Drama Family Thriller,6.1,priyadarshan darsheel safary atul kulkarni rituparna sengupta ziyah vastani drama family thriller
MAY,14.0,admissions open,K.D. Satyam,"Anupam Kher, Aashish Vidyarthi, Ankur Khanna, Pramod Moutho",Drama,2010,,,,Comedy Drama,3.2,k. d. satyam anupam kher aashish vidyarthi ankur khanna pramod moutho comedy drama
MAY,14.0,kushti,T K Rajeev Kumar,"Rajpal Yadav, Khali, Nargis, Sharat Saxena",Comedy/Romance,2010,,,,Comedy,4.3,t k rajeev kumar rajpal yadav khali nargis sharat saxena comedy
MAY,21.0,kites,Anurag Basu,"Hrithik Roshan, Kangana Ranaut, Bárbara Mori, Kabir Bedi, Nick Brown",Thriller/Romance,2010,,,,Action Drama Romance Thriller,6.1,anurag basu hrithik roshan kangana ranaut bárbara mori kabir bedi nick brown action drama romance thriller
JUN,4.0,raajneeti,Prakash Jha,"Ajay Devgn, Ranbir Kapoor, Arjun Rampal, Nana Patekar, Katrina Kaif, Manoj Bajpai, Naseeruddin Shah, Sarah Thompson",Drama/Political Thriller,2010,,,,Drama Thriller,7.1,prakash jha ajay devgn ranbir kapoor arjun rampal nana patekar katrina kaif manoj bajpai naseeruddin shah sarah thompson drama thriller
JUN,11.0,ek second... jo zindagi badal de?,Partho Ghosh,"Jackie Shroff, Manisha Koirala, Aman Verma",Thriller,2010,,,,Drama Romance Thriller,3.4,partho ghosh jackie shroff manisha koirala aman verma drama romance thriller
JUN,18.0,raavan,Mani Ratnam,"Vikram Kennedy, Abhishek Bachchan, Aishwarya Rai Bachchan, Govinda, Nikhil Dwivedi",Action/Romance,2010,,,,Action Adventure Drama Romance Thriller,5.4,mani ratnam vikram kennedy abhishek bachchan aishwarya rai bachchan govinda nikhil dwivedi action adventure drama romance thriller
JUN,25.0,krantiveer - the revolution,Mehul Kumar,"Jahan Bloch, Sameer Aftab",Action,2010,,,,Action Crime Drama Thriller,4.9,mehul kumar jahan bloch sameer aftab action crime drama thriller
JUN,25.0,mr. singh mrs. mehta,Pravesh Raman,"Aruna Shields, Prashant Narayanan",Drama,2010,,,,Drama,4.2,pravesh raman aruna shields prashant narayanan drama
JUL,2.0,i hate luv storys,Punit Malhotra,"Imran Khan, Sonam Kapoor, Sameer Dattani, Aamir Ali",Romance,2010,,,,Comedy Drama Romance,5.6,punit malhotra imran khan sonam kapoor sameer dattani aamir ali comedy drama romance
JUL,9.0,milenge milenge,Satish Kaushik,"Kareena Kapoor, Shahid Kapoor, Aarti Chabria",Romance,2010,,,,Drama Romance,4.1,satish kaushik kareena kapoor shahid kapoor aarti chabria drama romance
JUL,9.0,red alert: the war within,Anant Mahadevan,"Sunil Shetty, Vinod Khanna, Naseeruddin Shah, Sameera Reddy",Action,2010,,,,Action,,anant mahadevan sunil shetty vinod khanna naseeruddin shah sameera reddy action
JUL,16.0,lamhaa,Rahul Dholakia,"Sanjay Dutt, Bipasha Basu, Kunal Kapoor, Anupam Kher",Action,2010,,,,Action Drama Thriller,5.0,rahul dholakia sanjay dutt bipasha basu kunal kapoor anupam kher action drama thriller
JUL,16.0,tere bin laden,Abhishek Sharma,"Ali Zafar, Barry John, Nikhil Ratnaparkhi",Comedy,2010,,,,Comedy Drama,7.2,abhishek sharma ali zafar barry john nikhil ratnaparkhi comedy drama
JUL,16.0,udaan,Vikramaditya Motwane,"Ronit Roy, Rajat Barmecha",Drama,2010,,,,Drama,8.2,vikramaditya motwane ronit roy rajat barmecha drama
JUL,23.0,khatta meetha,Priyadarshan,"Akshay Kumar, Trisha Krishnan, Rajpal Yadav, Johnny Lever, Urvashi Sharma","Comedy, Drama, Romance",2010,,,,Comedy Crime Drama,5.7,priyadarshan akshay kumar trisha krishnan rajpal yadav johnny lever urvashi sharma comedy crime drama
JUL,30.0,once upon a time in mumbaai,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai, Randeep Hooda","Action, Romance, Thriller, Crime",2010,,,,Action Crime Drama Romance,7.4,milan luthria ajay devgn emraan hashmi kangana ranaut prachi desai randeep hooda action crime drama romance
AUG,6.0,aisha,Rajshree Ojha,"Sonam Kapoor, Abhay Deol, Anand Tiwari, Ira Dubey, Amrita Puri, Arunoday Singh, Cyrus Sahukar, Lisa Haydon","Romance, Comedy",2010,,,,Comedy Drama Romance,5.0,rajshree ojha sonam kapoor abhay deol anand tiwari ira dubey amrita puri arunoday singh cyrus sahukar lisa haydon comedy drama romance
AUG,13.0,help,Rajeev Virani,"Bobby Deol, Mugdha Godse, Sophia Handa, Shreyas Talpade",Horror,2010,,,,Horror Thriller,4.3,rajeev virani bobby deol mugdha godse sophia handa shreyas talpade horror thriller
AUG,13.0,peepli live,Anusha Rizvi,"Omkar Das Manikpuri, Raghubir Yadav","Political, Comedy",2010,,,,History Talk-Show,8.3,anusha rizvi omkar das manikpuri raghubir yadav history talk- show
AUG,20.0,lafangey parindey,Pradeep Sarkar,"Neil Nitin Mukesh, Deepika Padukone",Romance,2010,,,,Action Drama Romance Sport,5.2,pradeep sarkar neil nitin mukesh deepika padukone action drama romance sport
AUG,20.0,...and once again,Amol Palekar,"Antara Mali, Rajat Kapoor, Rituparna Sengupta",Drama,2010,,,,Drama,4.9,amol palekar antara mali rajat kapoor rituparna sengupta drama
AUG,27.0,hello darling,Manoj Tiwari,"Celina Jaitly, Isha Koppikar, Gul Panag",Comedy,2010,,,,Comedy Drama,2.7,manoj tiwari celina jaitly isha koppikar gul panag comedy drama
AUG,27.0,antardwand,Sushil Rajpal,"Raja Chaudhary, Vinay Pathak",Crime,2010,,,,Crime,,sushil rajpal raja chaudhary vinay pathak crime
AUG,27.0,aashayein,Nagesh Kukunoor,"John Abraham, Sonal Sehgal, Prateeksha Lonkar",Drama,2010,,,,Drama,7.1,nagesh kukunoor john abraham sonal sehgal prateeksha lonkar drama
AUG,27.0,soch lo,Sartaj Singh Pannu,"Sartaj Singh Pannu, Barkha Madan, Bhupinder Singh","Mystery, Suspense",2010,,,,Action Crime Drama Mystery,6.5,sartaj singh pannu sartaj singh pannu barkha madan bhupinder singh action crime drama mystery
SEP,3.0,we are family,Siddharth Malhotra,"Arjun Rampal, Kajol, Kareena Kapoor","Drama, Romance",2010,,,,Drama Family,5.6,siddharth malhotra arjun rampal kajol kareena kapoor drama family
SEP,3.0,mallika,Wilson Louis,"Sameer Dattani, Sheena Nayar, Himanshu Malik",Horror,2010,,,,Horror Mystery Thriller,4.6,wilson louis sameer dattani sheena nayar himanshu malik horror mystery thriller
SEP,3.0,the film emotional atyachar,Akshay Shere,"Mohit Alawat, Kalki Koechlin, Vinay Pathak, Ranvir Shorey, Ravi Kishan, Sakshi Gulati",Drama,2010,,,,Comedy Crime Drama Thriller,6.0,akshay shere mohit alawat kalki koechlin vinay pathak ranvir shorey ravi kishan sakshi gulati comedy crime drama thriller
SEP,10.0,dabangg,Abhinav Kashyap,"Salman Khan, Arbaaz Khan, Sonakshi Sinha, Sonu Sood, Mahie Gill, Vinod Khanna, Dimple Kapadia, Om Puri, Anupam Kher, Mahesh Manjrekar, Malaika Arora Khan",Action,2010,,,,Action Comedy,6.2,abhinav kashyap salman khan arbaaz khan sonakshi sinha sonu sood mahie gill vinod khanna dimple kapadia om puri anupam kher mahesh manjrekar malaika arora khan action comedy
OCT,1.0,anjaana anjaani,Siddharth Anand,"Priyanka Chopra, Ranbir Kapoor, Zayed Khan",Romance,2010,,,,Comedy Drama Musical Romance,5.8,siddharth anand priyanka chopra ranbir kapoor zayed khan comedy drama musical romance
OCT,1.0,benny and babloo,Yunus Sajawal,"Kay Kay Menon, Rajpal Yadav, Riya Sen, Shweta Tiwari, Rukhsar Rehman, Anita Hassanandani, Richa Chadha, Maushumi Udeshi, Hiten Paintal, Aasif Sheikh",Comedy,2010,,,,Comedy Drama,6.1,yunus sajawal kay kay menon rajpal yadav riya sen shweta tiwari rukhsar rehman anita hassanandani richa chadha maushumi udeshi hiten paintal aasif sheikh comedy drama
OCT,1.0,khichdi: the movie,Aatish Kapadia,"Supriya Pathak, Anang Desai, Rajeev Mehta, Jamnadas Majethia, Nimisha Vakharia",Comedy,2010,,,,Comedy Family,7.2,aatish kapadia supriya pathak anang desai rajeev mehta jamnadas majethia nimisha vakharia comedy family
OCT,8.0,crook,Mohit Suri,"Emraan Hashmi, Neha Sharma",Thriller,2010,,,,Action Drama Thriller,5.1,mohit suri emraan hashmi neha sharma action drama thriller
OCT,8.0,do dooni chaar,Habib Faisal,"Rishi Kapoor, Neetu Singh",Comedy,2010,,,,Comedy Drama,7.6,habib faisal rishi kapoor neetu singh comedy drama
OCT,15.0,aakrosh,Priyadarshan,"Ajay Devgn, Akshaye Khanna, Bipasha Basu, Reema Sen, Paresh Rawal",Thriller,2010,,,,Action Crime Thriller,7.0,priyadarshan ajay devgn akshaye khanna bipasha basu reema sen paresh rawal action crime thriller
OCT,15.0,pusher,Assad Raja,"Mahima Chaudhry, Pasha Bocarie, Marc Anwar, Assad Raja","Action, Drama",2010,,,,Action Crime Drama,6.2,assad raja mahima chaudhry pasha bocarie marc anwar assad raja action crime drama
OCT,15.0,knock out,Mani Shankar,"Sanjay Dutt, Kangana Ranaut, Irrfan Khan, Gulshan Grover",Action,2010,,,,Action Crime Drama Mystery Thriller,6.0,mani shankar sanjay dutt kangana ranaut irrfan khan gulshan grover action crime drama mystery thriller
OCT,15.0,kajraare,Pooja Bhatt,"Himesh Reshammiya, Sara Loren",Romance,2010,,,,Crime Drama Romance Thriller,2.8,pooja bhatt himesh reshammiya sara loren crime drama romance thriller
OCT,15.0,ramayana: the epic,Cheetan Desai,"Manoj Bajpai, Juhi Chawla",Animation,2010,,,,Animation Adventure Family Fantasy War,5.9,cheetan desai manoj bajpai juhi chawla animation adventure family fantasy war
OCT,22.0,hisss,Jennifer Lynch,"Mallika Sherawat, Irrfan Khan",Horror/Thriller,2010,,,,Comedy Drama Horror Thriller,2.8,jennifer lynch mallika sherawat irrfan khan comedy drama horror thriller
OCT,22.0,jhootha hi sahi,Abbas Tyrewala,"John Abraham, Pakhi Tyrewala",Romance,2010,,,,Comedy Drama Romance,6.1,abbas tyrewala john abraham pakhi tyrewala comedy drama romance
OCT,22.0,rakta charitra,Ram Gopal Verma,"Vivek Oberoi, Sudeep, Radhika Apte, Shatrughan Sinha, Kota Srinivasa Rao, Abhimanyu Singh, Sushant Singh",Biographical,2010,,,,Action Biography Crime Drama Thriller,7.6,ram gopal verma vivek oberoi sudeep radhika apte shatrughan sinha kota srinivasa rao abhimanyu singh sushant singh action biography crime drama thriller
OCT,29.0,maalik ek,Deepak Balraj Vij,"Jackie Shroff, Divya Dutta","Biographical, Animation",2010,,,,Biography Drama History,7.3,deepak balraj vij jackie shroff divya dutta biography drama history
OCT,29.0,nakshatra,Mohan Savalkar,"Anupam Kher, Shubh, Sabina Sheema",Romance,2010,,,,Crime Drama Mystery Romance Thriller,5.2,mohan savalkar anupam kher shubh sabina sheema crime drama mystery romance thriller
NOV,5.0,golmaal 3,Rohit Shetty,"Ajay Devgn, Mithun Chakraborty, Tusshar Kapoor, Arshad Warsi, Shreyas Talpade, Kareena Kapoor, Kunal Khemu",Comedy,2010,,,,Action Comedy,5.5,rohit shetty ajay devgn mithun chakraborty tusshar kapoor arshad warsi shreyas talpade kareena kapoor kunal khemu action comedy
NOV,5.0,action replayy,Vipul Shah,"Akshay Kumar, Aishwarya Rai, Neha Dhupia, Randhir Kapoor",Comedy,2010,,,,Comedy Romance Sci-Fi,4.2,vipul shah akshay kumar aishwarya rai neha dhupia randhir kapoor comedy romance sci- fi
NOV,12.0,dunno y... na jaane kyon,Sanjay Sharma,"Aryan Vaid, Kapil Sharma, Rituparna Sengupta, Helen, Zeenat Aman",Romance,2010,,,,Drama Romance,3.7,sanjay sharma aryan vaid kapil sharma rituparna sengupta helen zeenat aman drama romance
NOV,12.0,a flat,Raaj Verma,"Sanjay Suri, Jimmy Shergill",Thriller,2010,,,,Drama Horror Romance,4.6,raaj verma sanjay suri jimmy shergill drama horror romance
NOV,12.0,ramaa: the saviour,Haadi Abrar,"Sahil Khan, Tanushree Dutta, Dalip Singh Rana","Action, Adventure",2010,,,,Action Adventure Drama Family Fantasy,3.4,haadi abrar sahil khan tanushree dutta dalip singh rana action adventure drama family fantasy
NOV,19.0,guzaarish,Sanjay Leela Bhansali,"Hrithik Roshan, Aishwarya Rai",Romance/Drama,2010,,,,Drama,7.4,sanjay leela bhansali hrithik roshan aishwarya rai drama
NOV,19.0,"shahrukh bola ""khoobsurat hai tu""",Makrand Deshpande,"Preetika Chawla, Afzaal Khan, Shahrukh Khan, Kay Kay Menon",Thriller,2010,,,,Comedy Drama,5.1,makrand deshpande preetika chawla afzaal khan shahrukh khan kay kay menon comedy drama
NOV,19.0,diwangi ne had kar di,Jiten Purohit,"Aditya Raj Kapoor, Deep, Ashhmita",Romance/Thriller,2010,,,,Romance,,jiten purohit aditya raj kapoor deep ashhmita romance
NOV,26.0,allah ke banday,Faruk Kabir,"Sharman Joshi, Naseeruddin Shah, Faruk Kabir",Thriller,2010,,,,Action Crime Drama Thriller,6.2,faruk kabir sharman joshi naseeruddin shah faruk kabir action crime drama thriller
NOV,26.0,break ke baad,Danish Aslam,"Imran Khan, Deepika Padukone",Romance,2010,,,,Comedy Drama Romance,5.2,danish aslam imran khan deepika padukone comedy drama romance
